Market_cap,Name,Percent_change_7d,Price,Percent_change_24h,Volume_24h,Circulating_supply,Symbol
12256.3209115,Firecoin,13.50,0.124541,0.07,0.0,98411.9359207,FIRE
12107.3915329,X-Coin,5.37,0.000977587,3.10,0.0,12384976.0,XCO
11973.1287042,BumbaCoin,-2.17,0.00054816,-5.28,191.935,21842397.6653,BUMBA
11937.5497349,Unrealcoin,56.77,0.00169944,-27.50,10.1963,7024402.0,URC
11931.1729543,Tigercoin,18.77,0.000274048,14.78,32.2008,,TGC
11618.0422202,Halcyon,,0.00256287,0.70,2.29964,4533215.58262,HAL
11490.3730173,SongCoin,9.30,0.000352841,-9.04,23.248,32565300.0,SONG
11440.6003816,WARP,11.38,0.0104459,3.01,0.0,1095224.0,WARP
11399.4151765,Bitzeny,-27.66,0.000150757,14.47,1.17981,75614500.0,ZNY
11346.1932401,ARbit,-6.70,0.00181829,3.03,0.0,6240035.0,ARB
11274.3018697,TajCoin,-26.76,0.00214131,3.52,45.0087,5265142.30528,TAJ
11236.2363416,SixEleven,-16.53,0.0274378,,168.892,409516.664661,611
11120.6936677,GuccioneCoin,-2.51,0.000548208,4.07,31.0686,20285537.0,GCC
10634.7460294,RonPaulCoin,4.85,0.0138835,-1.86,23.0382,765998.921699,RPC
10425.7460439,VapersCoin,9.72,1.33642e-05,4117.56,0.141851,780124964.0,VPRC
10292.6166818,Alexium,60.12,0.000507092,,217.117,20297335.9504,AUM
9973.74627178,BiosCrypto,-37.58,0.000481074,-1.27,46.3405,20732249.6576,BIOS
9719.42166725,PX,-9.42,0.000132391,0.53,0.0,73414519.6218,PX
9640.94647935,Future Digita...,16.94,0.00426232,3.40,39.7451,2261901.14289,FDC
9355.05804366,Abncoin,-19.03,0.138184,-46.86,29.4048,67700.009,ABN
8885.72298888,Eurocoin,6.47,0.000767491,9.19,493.348,11577625.0,EUC
8783.04829619,Spots,-10.61,0.000391995,6.31,1.73754,22406021.2405,SPT
8781.38382274,Ebittree Coin,-26.94,0.0112383,4.19,187.761,781380.0862,EBT
8540.56120433,Pulse,-30.02,0.000597285,-10.99,9.85984,14298971.52,PULSE
8418.65954756,Hirocoin,,2.74048e-05,,1.37024,307196533.0,HIRO
8403.51551731,Creatio,-3.55,0.000411156,41.91,5.43008,20438752.0,XCRE
8375.62412612,Hommalicoin,-48.57,3.51433,,5.57465,2383.27764499,HMC
8277.49464657,IslaCoin,-19.39,0.00546837,,0.262907,1513704.2019,ISL
8127.51466365,PopularCoin,-31.04,2.43923e-06,-37.35,14.9601,3332000124.49,POP
8081.833214,MindCoin,8.06,0.000644144,-14.19,12.8985,12546625.0,MND
7872.68454897,Ride My Car,-30.91,7.79331e-05,17.51,88.3063,101018495.979,RIDE
7862.72353503,GameBet Coin,-44.76,0.00037004,4.07,2.03355,21248307.0345,GBT
7719.97652672,BlazeCoin,42.20,1.26857e-05,-16.73,7.57082,608557393.5,BLZ
7602.67661812,Aricoin,-36.42,5.42032e-05,2.90,0.0,140262505.131,ARI
7493.3965392,PLNcoin,-21.73,0.000438477,33.19,0.199507,,PLNC
7305.04118313,Iconic,83.98,0.012321,16.94,450.012,592893.53,ICON
7272.66848365,Flaxscript,157.89,0.0013294,-10.08,4.64844,5470639.75,FLAX
7250.77690544,Money,47.56,0.000158013,-22.58,40.6394,45887217.5419,$$$
7205.46613786,LetItRide,-6.32,0.000205267,3.91,0.0,35102895.9251,LIR
7041.31394658,Scorecoin,0.28,0.000452272,15.62,93.2434,15568759.3894,SCORE
6842.45,DAPPSTER,,6.84245e-05,3.91,0.0,,DLISK
6728.98983595,VIP Tokens,-5.43,8.06346e-05,2.05,0.0,83450402.6305,VIP
6655.13082333,Blackstar,12.52,1.37052e-05,-0.10,325.569,485591660.343,BSTAR
6578.52006156,EGO,13.89,0.000109642,4.07,1.54936,60000000.5615,EGO
6389.49990593,BowsCoin,78.33,0.00115124,-8.94,25.7907,5550102.41646,BSC
6344.10418752,LeaCoin,-11.78,2.74104e-05,4.06,0.139793,231448800.0,LEA
6103.30987602,OsmiumCoin,9.04,0.00682677,0.07,0.0,894026.0,OS76
5933.04231952,Litecred,74.24,0.000196278,34.63,43.7774,30227750.0256,LTCR
5525.45911047,Photon,131.72,6.30615e-07,32.68,28.6681,8762016619.45,PHO
5492.77613702,G3N,2.82,0.000726376,4.07,0.758336,7561891.0,G3N
5426.95745572,Steps,-33.58,0.00029138,-16.71,11.523,18625017.0078,STEPS
5336.38957824,Printerium,65.22,0.000588069,1.48,0.0,9074427.6237,PRX
5148.82933972,iBank,82.33,0.00113753,51.53,32.1638,,IBANK
