"NAME","sub_area","OKRUG"
"Киевский","Poselenie Kievskij","Troitsky"
"Филёвский Парк","Filevskij Park","Western"
"Новофёдоровское","Poselenie Novofedorovskoe","Troitsky"
"Роговское","Poselenie Rogovskoe","Troitsky"
"""Мосрентген""","Poselenie Mosrentgen","Novomoskovsky"
"Вороновское","Poselenie Voronovskoe","Troitsky"
"Михайлово-Ярцевское","Poselenie Mihajlovo-Jarcevskoe","Troitsky"
"Марушкинское","Poselenie Marushkinskoe","Novomoskovsky"
"Первомайское","Poselenie Pervomajskoe","Troitsky"
"Матушкино","Matushkino","Zelenogradsky"
"Внуково","Vnukovo","Western"
"Савёлки","Savelki","Zelenogradsky"
"Внуковское","Poselenie Vnukovskoe","Novomoskovsky"
"Силино","Silino","Zelenogradsky"
"Кокошкино","Poselenie Kokoshkino","Novomoskovsky"
"Крюково","Krjukovo","Zelenogradsky"
"Щукино","Shhukino","North-Western"
"Краснопахорское","Poselenie Krasnopahorskoe","Troitsky"
"Нагатинский Затон","Nagatinskij Zaton","Southern"
"Старое Крюково","Staroe Krjukovo","Zelenogradsky"
"Клёновское","Poselenie Klenovskoe","Troitsky"
"Дмитровский","Dmitrovskoe","Northern"
"Филимонковское","Poselenie Filimonkovskoe","Novomoskovsky"
"Троицк","Troickij okrug","Troitsky"
"Тёплый Стан","Teplyj Stan","South-Western"
"Щаповское","Poselenie Shhapovskoe","Troitsky"
"Московский","Poselenie Moskovskij","Novomoskovsky"
"Десёновское","Poselenie Desjonovskoe","Novomoskovsky"
"Ховрино","Hovrino","Northern"
"Ломоносовский","Lomonosovskoe","South-Western"
"Можайский","Mozhajskoe","Western"
"Ново-Переделкино","Novo-Peredelkino","Western"
"Строгино","Strogino","North-Western"
"Молжаниновский","Molzhaninovskoe","Northern"
"Митино","Mitino","North-Western"
"Куркино","Kurkino","North-Western"
"Крылатское","Krylatskoe","Western"
"Солнцево","Solncevo","Western"
"Сосенское","Poselenie Sosenskoe","Novomoskovsky"
"Воскресенское","Poselenie Voskresenskoe","Novomoskovsky"
"Головинский","Golovinskoe","Northern"
"Южное Тушино","Juzhnoe Tushino","North-Western"
"Северное Тушино","Severnoe Tushino","North-Western"
"Черёмушки","Cheremushki","South-Western"
"Покровское-Стрешнево","Pokrovskoe Streshnevo","North-Western"
"Хорошёво-Мнёвники","Horoshevo-Mnevniki","North-Western"
"Очаково-Матвеевское","Ochakovo-Matveevskoe","Western"
"Тропарёво-Никулино","Troparevo-Nikulino","Western"
"Левобережный","Levoberezhnoe","Northern"
"Фили-Давыдково","Fili Davydkovo","Western"
"Обручевский","Obruchevskoe","South-Western"
"Рязановское","Poselenie Rjazanovskoe","Novomoskovsky"
"Раменки","Ramenki","Western"
"Войковский","Vojkovskoe","Northern"
"Сокол","Sokol","Northern"
"Западное Дегунино","Zapadnoe Degunino","Northern"
"Проспект Вернадского","Prospekt Vernadskogo","Western"
"Южное Бутово","Juzhnoe Butovo","South-Western"
"Ясенево","Jasenevo","South-Western"
"Дорогомилово","Dorogomilovo","Western"
"Коньково","Kon'kovo","South-Western"
"Хорошёвский","Horoshevskoe","Northern"
"Беговой","Begovoe","Northern"
"Коптево","Koptevo","Northern"
"Щербинка","Poselenie Shherbinka","Novomoskovsky"
"Аэропорт","Ajeroport","Northern"
"Пресненский","Presnenskoe","Central"
"Северный","Severnoe","North-Eastern"
"Бескудниковский","Beskudnikovskoe","Northern"
"Гагаринский","Gagarinskoe","South-Western"
"Тимирязевский","Timirjazevskoe","Northern"
"Северное Бутово","Severnoe Butovo","South-Western"
"Лианозово","Lianozovo","North-Eastern"
"Хамовники","Hamovniki","Central"
"Восточное Дегунино","Vostochnoe Degunino","Northern"
