available,artist,price,label,tracks,link,release,front_cover,catalog_num
Add To Basket,"¿cómo Se Divertirán Los Insectos?,Va",£7.49 (£8.99 inc vat),Ahd X Prayers For The Long Life,DJ F - Dukha / EP iphany - Leavng / EP iphan...,https://www.redeyerecords.co.uk/vinyl/85245-ahd011-re02-¿cómo-se-divertirán-los-insectos?-va,"¿cómo Se Divertirán Los Insectos?,Va",https://www.redeyerecords.co.uk/imagery/118979-2.jpg,AHD011-RE02
Add To Basket,"Alessandro Adriani,Fall Elsewhere And ...",£7.91 (£9.49 inc vat),Pinkman Broken Dreams,1 One Minute (After Death) / 2 I Am A Ghost ...,https://www.redeyerecords.co.uk/vinyl/85237-pbd07-alessandro-adriani-fall-elsewhere-and-shatter,"Alessandro Adriani,Fall Elsewhere And ...",https://www.redeyerecords.co.uk/imagery/118975-2.jpg,PBD07
Add To Basket,"Alex Seidel,Schwarz 12 EP",£8.33 (£10.00 inc vat),Schwarz 12 Records,A. Forum Schwarz / A. Bliss Tape / B. Night ...,https://www.redeyerecords.co.uk/vinyl/83408-swz001-alex-seidel-schwarz-12-ep,"Alex Seidel,Schwarz 12 EP",https://www.redeyerecords.co.uk/imagery/117551-2.jpg,SWZ001
Add To Basket,"Arnheim,Would You Tell Me About You
",£7.91 (£9.49 inc vat),Barbara Recordings,Ahold Me / Athat He Man Of Hers / Bone's Own...,"https://www.redeyerecords.co.uk/vinyl/85234-barbara02-arnheim-would-you-tell-me-about-you
","Arnheim,Would You Tell Me About You
",https://www.redeyerecords.co.uk/imagery/118972-2.jpg,BARBARA02
Add To Basket,"Ashac,Kaboom",£7.49 (£8.99 inc vat),High Ends,– Reefer Madness / – Vllsmrns / – Kaboom ,https://www.redeyerecords.co.uk/vinyl/85241-he002-ashac-kaboom,"Ashac,Kaboom",https://www.redeyerecords.co.uk/imagery/118977-2.jpg,HE002
Add To Basket,"Banoffee Pies World Series 01,Va",£7.49 (£8.99 inc vat),Banoffee Pies,A1 Philou Louzolo - Afrofuturism Dance / A2 ...,https://www.redeyerecords.co.uk/vinyl/81091-bpws001-banoffee-pies-world-series-01-va,"Banoffee Pies World Series 01,Va",https://www.redeyerecords.co.uk/imagery/115792-2.jpg,BPWS001
Add To Basket,Black Bones 1,£8.33 (£10.00 inc vat),Black Bones,Malukayi / Malukacid / It's Happened / For B...,https://www.redeyerecords.co.uk/vinyl/80375-blackbones001-black-bones-1,Black Bones 1,https://www.redeyerecords.co.uk/imagery/115248-2.jpg,BLACKBONES001
Add To Basket,"Craig Bratley / James Hadfield,To Rack...",£7.49 (£8.99 inc vat),To Rack & Ruin,Craig Bratley – Ani Kuni / Craig Bratley – A...,https://www.redeyerecords.co.uk/vinyl/85246-rr015-craig-bratley-james-hadfield-to-rack-and-ruin-vol--14,"Craig Bratley / James Hadfield,To Rack...",https://www.redeyerecords.co.uk/imagery/118980-2.jpg,RR015
Add To Basket,"Delano Smith,Dark Shades Of Detroit",£7.08 (£8.50 inc vat),Sushitech,Wires / In Limbo / Trying Times       ,https://www.redeyerecords.co.uk/vinyl/53897-sush013-delano-smith-dark-shades-of-detroit,"Delano Smith,Dark Shades Of Detroit",https://www.redeyerecords.co.uk/imagery/97705-2.jpg,sush013
Add To Basket,"Denis Sulta,It's Only Real",£6.66 (£7.99 inc vat),Numbers,It's Only Real   ,https://www.redeyerecords.co.uk/vinyl/69847-nmbrs49-denis-sulta-it's-only-real,"Denis Sulta,It's Only Real",https://www.redeyerecords.co.uk/imagery/107553-2.jpg,NMBRS49
Add To Basket,Dialogue Vol. 1,£7.49 (£8.99 inc vat),Monologues Records,Je Dàvu - You Don't Need / Uffe - Keepon / P...,https://www.redeyerecords.co.uk/vinyl/73258-m12001-dialogue-vol--1,Dialogue Vol. 1,https://www.redeyerecords.co.uk/imagery/110030-2.jpg,M12001
Add To Basket,"Hardworking Families,Hwf002",£8.75 (£10.50 inc vat),Hardworking Families,Solar Wind / Solar Wind Reprise / Colour Mac...,https://www.redeyerecords.co.uk/vinyl/85278-hwf002-hardworking-families-hwf002,"Hardworking Families,Hwf002",https://www.redeyerecords.co.uk/imagery/118999-2.jpg,HWF002
Add To Basket,Harvey Sutherland & Bermuda,£7.49 (£8.99 inc vat),Clarity Recordings,"Priestess / Bravado : Clarity Recordings,   ...",https://www.redeyerecords.co.uk/vinyl/78831-crc01-harvey-sutherland-and-bermuda,Harvey Sutherland & Bermuda,https://www.redeyerecords.co.uk/imagery/114132-2.jpg,CRC01
Add To Basket,"Harvey Sutherland & Bermuda,Expectatio...",£10.15 (£12.18 inc vat),Clarity Recordings,Clarity / Why Look Back.. / Expectations / C...,https://www.redeyerecords.co.uk/vinyl/82932-crc-02-harvey-sutherland-and-bermuda-expectations-lp,"Harvey Sutherland & Bermuda,Expectatio...",https://www.redeyerecords.co.uk/imagery/62506-2.jpg,CRC-02
Add To Basket,"House For Her,Various Feelings",£7.91 (£9.49 inc vat),House For Her,You're Not On The List / I.l.l / 25 To Her /...,https://www.redeyerecords.co.uk/vinyl/85258-hfh001-house-for-her-various-feelings,"House For Her,Various Feelings",https://www.redeyerecords.co.uk/imagery/118992-2.jpg,HFH001
Add To Basket,"Inhere,Inhere 01",£7.91 (£9.49 inc vat),Inhere, - Untitled /  - Untitled /  - Untitled ,https://www.redeyerecords.co.uk/vinyl/85253-inhere01-inhere-inhere-01,"Inhere,Inhere 01",https://www.redeyerecords.co.uk/imagery/118987-2.jpg,INHERE01
Add To Basket,"Joe Smooth,The Complete Promised Land ...",£6.66 (£7.99 inc vat),Trax,A1. Club Mix / A2. Underground Mix / B1. Fre...,https://www.redeyerecords.co.uk/vinyl/55497-smooth001-joe-smooth-the-complete-promised-land-ep,"Joe Smooth,The Complete Promised Land ...",https://www.redeyerecords.co.uk/imagery/98628-2.jpg,SMOOTH001
Add To Basket,"Kerri Chandler,Panic EP",£7.49 (£8.99 inc vat),Madhouse,Get Up / Insomnia Again / Something Wrong / ...,https://www.redeyerecords.co.uk/vinyl/85277-ktc1002-kerri-chandler-panic-ep,"Kerri Chandler,Panic EP",https://www.redeyerecords.co.uk/imagery/118998-2.jpg,KTC1002
Add To Basket,"Lily Ann,Going Crazy",£13.05 (£15.66 inc vat),Best Italy,Going Crazy (Vocal) / Going Crazy (Instrumen...,https://www.redeyerecords.co.uk/vinyl/82779-bstx-016-lily-ann-going-crazy,"Lily Ann,Going Crazy",https://www.redeyerecords.co.uk/imagery/117086-2.jpg,BSTX 016
Add To Basket,Lipps Inc / Irene Cara,£8.33 (£10.00 inc vat),Casablanca,Funkytown / Flashdance...what A Feeling ,https://www.redeyerecords.co.uk/vinyl/85232-nbd20207-lipps-inc-irene-cara,Lipps Inc / Irene Cara,https://www.redeyerecords.co.uk/imagery/118970-2.jpg,NBD20207
Add To Basket,Lodger 10'',£6.66 (£7.99 inc vat),A To Z,A / B  ,https://www.redeyerecords.co.uk/vinyl/82356-az003-lodger-10'',Lodger 10'',https://www.redeyerecords.co.uk/imagery/116756-2.jpg,AZ003
Add To Basket,"Marius Circus,Veggepysj (Incl. Prins T...",£6.66 (£7.99 inc vat),In The Garden,Marius Circus - Veggepysj / Marius Circus - ...,https://www.redeyerecords.co.uk/vinyl/85284-itg002-marius-circus-veggepysj-incl--prins-thomas-remix,"Marius Circus,Veggepysj (Incl. Prins T...",https://www.redeyerecords.co.uk/imagery/119005-2.jpg,ITG002
Out Of Stock,"Material Heads Vol. 25,Va",£7.49 (£8.99 inc vat),Material Series,So Watch / The Rythm / I'm A / Keep Moving ,https://www.redeyerecords.co.uk/vinyl/84520-materialxxx25-material-heads-vol--25-va,"Material Heads Vol. 25,Va",https://www.redeyerecords.co.uk/imagery/118429-2.jpg,MATERIALXXX25
Add To Basket,"Medlar,Shake It, Make It, Take It, Bre...",£7.49 (£8.99 inc vat),For Discos Only,Shake It / Shake It (Mytron Ofofo Remix) / T...,https://www.redeyerecords.co.uk/vinyl/81877-fdo001-medlar-shake-it--make-it--take-it--break-it-ep,"Medlar,Shake It, Make It, Take It, Bre...",https://www.redeyerecords.co.uk/imagery/116383-2.jpg,FDO001
Add To Basket,"Mike Clark,River People",£7.49 (£8.99 inc vat),Third Ear,1 River People Beatdown Rework / 2 River Peo...,https://www.redeyerecords.co.uk/vinyl/85238-3eep2017ooo-mike-clark-river-people,"Mike Clark,River People",https://www.redeyerecords.co.uk/imagery/118976-2.jpg,3eep2017ooo
Add To Basket,"Nature Boy,Ruff Disco Volume One",£13.37 (£16.04 inc vat),Frame Of Mind,1 Ha Ha / 10 You Want / 11 The Major Enemy /...,https://www.redeyerecords.co.uk/vinyl/83526-fom001-nature-boy-ruff-disco-volume-one,"Nature Boy,Ruff Disco Volume One",https://www.redeyerecords.co.uk/imagery/117648-2.jpg,FOM001
Add To Basket,"Oli Furness,Middle Ground EP",£6.66 (£7.99 inc vat),Music Is Love,Oli Furness - Middle Ground / Oli Furness - ...,https://www.redeyerecords.co.uk/vinyl/85254-mil016-oli-furness-middle-ground-ep,"Oli Furness,Middle Ground EP",https://www.redeyerecords.co.uk/imagery/118988-2.jpg,MIL016
Out Of Stock,"Opuswerk / Lee Holman,Split EP",£7.49 (£8.99 inc vat),Another Earth,01 Opuswerk - Rf Thruster / 02 Opuswerk - Em...,https://www.redeyerecords.co.uk/vinyl/82742-ae303-opuswerk-lee-holman-split-ep,"Opuswerk / Lee Holman,Split EP",https://www.redeyerecords.co.uk/imagery/117058-2.jpg,AE303
