,c,g
459,12334,569
460,10275,570
461,3935,571
462,7420,572
463,11875,573
464,10847,574
465,11197,575
466,5271,576
467,12878,577
468,12873,578
469,11271,579
470,10941,581
471,10934,582
472,13444,585
473,7475,586
474,10875,587
475,14019,588
476,12897,589
477,10995,590
478,8179,591
479,9509,592
480,10825,593
481,12553,594
482,11698,595
483,7591,597
484,8620,598
485,6309,599
486,11972,600
487,7325,601
488,6004,604
489,10306,605
490,5376,606
491,11589,607
492,1086,608
493,6570,610
494,3252,611
495,8231,613
496,11948,614
497,7582,616
498,14221,617
499,10013,619
500,10389,620
501,10389,621
502,12429,622
503,8676,625
504,4312,626
505,12530,627
506,11836,629
507,12971,630
508,11401,633
509,2608,634
510,11326,635
511,12865,636
512,9099,637
513,9379,638
514,12754,639
515,3911,640
516,10228,641
517,8293,642
518,10113,643
519,5349,644
520,13475,645
521,13064,646
522,6882,647
523,13833,648
524,9073,649
525,10207,650
526,9273,653
527,2963,654
528,341,655
529,3334,656
530,7439,657
531,8733,658
532,8441,659
533,7803,660
534,7820,661
535,12256,662
536,6817,663
537,8111,665
538,8984,666
539,10807,667
540,10898,668
541,10725,672
542,14706,673
543,13638,675
544,9729,676
545,13588,678
546,9009,679
547,7229,680
548,8277,681
549,12306,682
550,6453,683
551,6453,684
552,6382,686
553,5595,687
554,7621,691
555,9315,694
556,9656,695
557,13472,696
558,414,697
559,7681,698
560,10774,699
561,5289,700
562,8680,702
563,8430,703
564,9554,704
565,4955,705
566,7450,706
567,12538,707
568,11267,708
569,10152,709
570,11978,710
571,13544,711
572,13921,712
573,10791,713
574,436,714
575,9595,715
576,12472,717
577,12498,718
578,8271,720
579,12105,721
580,8795,722
581,9733,723
582,13911,724
583,9135,725
584,8940,726
585,8378,727
586,13452,728
587,10765,729
588,11251,731
589,8814,732
590,13191,733
591,11246,734
592,4975,735
593,9010,736
594,27,739
595,8763,740
596,7709,741
597,8455,742
598,14728,743
599,6659,744
600,5746,745
601,12277,746
602,10369,747
603,12560,748
604,6707,749
605,6097,750
606,3313,751
607,1135,752
608,2082,753
609,14030,755
610,9096,756
611,9767,757
612,7753,758
613,8855,759
614,14494,760
615,12140,761
616,12140,762
617,13477,763
618,8241,764
619,13861,765
620,13870,766
621,12728,767
622,12728,768
623,12728,769
624,12379,770
625,275,771
626,10404,772
