"","Agencies_fav","Type","values"
"1","away team","won_rate",0.138673442096817
"2","drow","won_rate",0.000178300793438531
"3","home team","won_rate",0.392752072746724
"4","not a clear favorite","won_rate",0
"5","away team","lost_rate",0.136355531782116
"6","drow","lost_rate",0.000401176785236694
"7","home team","lost_rate",0.331059998216992
"8","not a clear favorite","lost_rate",0.000579477578675225
