"","btc_usd","usd_vol","btc_eur","eur_vol","btc_cad","cad_vol","btc_aud","aud_vol","btc_gbp","gbp_vol","btc_jpy","jpy_vol","btc_cny","cny_vol","btc_brl","brl_vol","btc_rub","rub_vol","btc_sll","sll_vol","USDEUR","USDGBP","USDCAD","USDJPY","USDAUD","USDCNY","USDRUB","USDSLL","oil","gold","VTWSX","EEM","EFA","XCI","btc_usd_trades","btc_usd_in_day_fluc","btc_max_rr_1","btc_rr_1","btc_rr_2","btc_rr_3","btc_rr_4","btc_rr_5","btc_rr_10","btc_rr_15","btc_rr_30","est_trans_vol","num_trans","median.conf.time","trade_vol","btc_USDEUR","btc_USDGBP","btc_USDCAD","btc_USDAUD","btc_USDJPY","btc_USDCNY","btc_USDRUB","btc_USDBRL","btc_USDSLL"
"2011-08-14",10.54,17.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.85,1,NA,NA,3038.9,459,0.70057,0.61375,0.9886,76.82,0.96311,6.3813,28.962601,NA,NA,NA,NA,NA,NA,NA,15,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88330170777989,288.320683111955
"2011-08-15",10.98,27.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1,NA,NA,3265.29,341,0.6926,0.61028,0.9814,76.839996,0.95353,6.3803,28.611401,NA,NA,NA,16.027836,37.676815,45.910484,937.700012,24,0.19,0.123861566484517,0.0417457305502848,NA,NA,NA,NA,NA,NA,NA,66808,204.615956548024,NA,-44743.5892275044,NA,NA,NA,NA,NA,NA,NA,1.63934426229508,297.385245901639
"2011-08-16",11.0842,9.18531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3231.27,475,0.69454,0.60824,0.9828,76.753998,0.95456,6.3736,28.631399,NA,NA,NA,15.87104,37.355637,45.24044,928.219971,19,0.0600739371534196,0.0442070695223832,0.00948998178506364,0.0516318785578748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291.520362317533
"2011-08-17",10.6392,41.2932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.65,1.01,NA,NA,3067.49,531,0.69304,0.60456,0.98,76.546997,0.94881,6.3778,28.773199,NA,NA,NA,15.94073,37.62328,45.50338,920.080017,26,0.1,-0.00791412888187074,-0.0401472366070622,-0.0310382513661202,0.0094117647058825,NA,NA,NA,NA,NA,63047,-319.440518173366,NA,-245152.916244346,NA,NA,NA,NA,NA,NA,NA,1.84694337920144,288.31961049703
"2011-08-18",10.6211,12.4196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.55,0.56,NA,NA,3029.4,517,0.69811,0.60577,0.99058,76.637001,0.96346,6.3875,29.038401,NA,NA,NA,15.217735,35.847851,43.289688,873.890015,37,0.0563106796116505,0.0226718513148356,-0.00170125573351384,-0.0417801916241135,-0.0326867030965392,0.00769449715370029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36991460394874,285.22469424071
"2011-08-19",10.94,44.1574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.33,12.97,NA,NA,3166.75,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.982545,35.401752,42.551792,848.26001,36,0.0857142857142857,0.0711974405850092,0.0300251386391239,0.0282728024663507,-0.0130095090308727,-0.00364298724954471,0.0379506641366224,NA,NA,NA,55157,33.9456265983963,NA,-22100.8073225001,NA,NA,NA,NA,NA,NA,NA,1.76691042047532,289.465265082267
"2011-08-20",11.0394,25.2718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3222.42,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,0.0672268907563024,0.0443864702791819,0.00908592321755037,0.0393838679609457,0.0376156101962553,-0.00404178921347491,0.00540983606557378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291.90173378988
"2011-08-21",11.3304,66.8519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3157,692,0.69593,0.60687,0.991,76.786003,0.96293,6.382,28.9802,NA,NA,NA,NA,NA,NA,NA,26,0.102941176470588,0.0847807667866977,0.0263601282678405,0.0356855575868373,0.0667821600399204,0.0649672907737422,0.0222117969722668,NA,NA,NA,40907,-577.322767750114,NA,-329400.644848529,NA,NA,NA,NA,NA,NA,NA,NA,278.630939772647
"2011-08-22",11.0463,59.1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.49,1.01,NA,NA,3045.68,503,0.69633,0.60731,0.9904,76.832001,0.96172,6.4,29.0996,NA,NA,NA,15.026095,35.36607,42.823204,854.059998,46,0.0504201680672268,-0.00727845522935274,-0.0250741368354161,0.00062503396923745,0.00971663619744067,0.0400335181854987,0.038264155199639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76439169676724,275.719471678299
"2011-08-23",10.8147,17.5892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3014.07,589,0.69266,0.60613,0.9879,76.660004,0.95021,6.395,28.907,NA,NA,NA,15.470345,36.606209,44.214176,886.169983,17,0.0571428571428571,0.00496546367444304,-0.0209662964069417,-0.0455147214573183,-0.0203543670851677,-0.011453382084095,0.0182278671700671,NA,NA,NA,47574,-508.799879842846,NA,-162298.208733311,NA,NA,NA,NA,NA,NA,NA,NA,278.701212238897
"2011-08-24",10.7269,36.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.49,1,NA,NA,3018.8,586,0.69385,0.61087,0.9875,77.053001,0.95572,6.388,28.920401,NA,NA,NA,15.557454,36.249336,44.231136,893.76001,26,0.0457142857142858,0.0154098574611491,-0.00811857934108201,-0.0289146592071553,-0.0532637859210618,-0.0283076978821313,-0.0194789762340036,0.0177324478178369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81692753731274,281.423337590543
"2011-08-25",10.1958,62.0296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.44,2.5,NA,NA,2768.02,606,0.69575,0.61413,0.9881,77.434998,0.95769,6.39,28.8862,NA,NA,NA,15.304846,35.54451,43.162472,880.890015,31,0.125131440588854,-0.00263834127778117,-0.0495110423328268,-0.0572276623484701,-0.0769941066239374,-0.100137682694344,-0.076417196586771,-0.0714207650273224,NA,NA,131799,-539.829677450187,NA,278404.60748539,NA,NA,NA,NA,NA,NA,NA,1.90666745130348,271.486298279684
"2011-08-26",8.9525,22.1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.286,2.03749,NA,NA,2372.48,837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.496477,36.151192,43.840988,900.059998,16,0.19375,-0.0721362747835799,-0.121942368426215,-0.165415916993726,-0.172191554088417,-0.189547631333569,-0.209869024924098,-0.192318796124213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.925551521921251,265.007539793354
"2011-08-27",8.6625,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.386,2.09267,NA,NA,2229.39,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.125,0.00548340548340542,-0.0323931862608211,-0.15038545283352,-0.192450754644865,-0.199006907265111,-0.215800765867304,-0.185794044665012,NA,NA,1130325,-153.824398267143,NA,-228867.34585459,NA,NA,NA,NA,NA,NA,NA,1.54528138528139,257.361038961039
"2011-08-28",8.6275,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7567,0.80651,NA,NA,2287.22,451,0.68989,0.61162,0.98141,76.681999,0.94521,6.3762,28.7132,NA,NA,NA,NA,NA,NA,NA,4,0.0352941176470589,0.0159374094465374,-0.00404040404040406,-0.0363027087405754,-0.153818238882677,-0.195713579878623,-0.202243242993333,-0.187701838792592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8263343958273,265.108084613156
"2011-08-29",8.74091,34.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.83,0.1275,NA,NA,2364.7,609,0.6885,0.6092,0.9761,76.932999,0.93637,6.366,28.7082,NA,NA,NA,15.888465,37.319954,44.88422,924.200012,11,0.0465116279069768,0.0426157001959751,0.0131451753115039,0.00905165945165944,-0.0236347388997488,-0.142695031287393,-0.185141093885466,-0.201013711151737,-0.17069165085389,NA,41172,711.959958500006,NA,-104103.019445191,NA,NA,NA,NA,NA,NA,NA,1.46781055977009,270.532473163549
"2011-08-30",8.74,37.0585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.225,29.6155,NA,NA,2310.71,425,0.69285,0.61321,0.9786,76.700996,0.93668,6.3803,28.842899,NA,NA,NA,15.914599,37.373478,44.621288,925.97998,15,0.0588235294117647,0.0296441647597255,-0.000104108153498812,0.013039698638076,0.00894660894660901,-0.0237363864842223,-0.142784283724671,-0.208290305632553,-0.204007285974499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85640732265446,264.383295194508
"2011-08-31",8.64036,34.843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,10.06,NA,NA,2283.85,791,0.69567,0.61533,0.978,76.730003,0.93553,6.378,28.7931,NA,NA,NA,16.114944,38.140755,45.435516,926.280029,28,0.0850801479654749,0.00694415510464848,-0.011400457665904,-0.0115033789388062,0.00149058243987249,-0.00255584415584419,-0.0348662384808714,-0.237417919932218,-0.220479601595063,NA,49554,-0.31964049486669,NA,-112304.670193833,NA,NA,NA,NA,NA,NA,NA,1.96751061298372,264.323477262521
"2011-09-01",8.14545,9.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2250.14,404,0.70116,0.61774,0.976,76.860001,0.93257,6.381,28.941601,NA,NA,NA,15.992995,37.935555,44.875736,916.590027,11,0.044943820224719,-0.0331915363792056,-0.0572788633806924,-0.0680263157894737,-0.0681233418488463,-0.055873659808751,-0.0596883116883116,-0.262608294179952,-0.234392623505527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276.245020226016
"2011-09-02",8.28731,21.7373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9967,9.9995,NA,NA,2168.24,552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.601007,37.079056,43.874912,895.309998,29,0.0609086370444333,0.0427822779647437,0.0174158579329564,-0.0408605659949354,-0.0517951945080092,-0.0518939103594477,-0.0394308895972182,-0.233699501604298,-0.219731477907185,NA,56115,-292.092382280166,NA,-105159.915142374,NA,NA,NA,NA,NA,NA,NA,2.17159729755494,261.633750879357
"2011-09-03",8.62294,30.2409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2227.93,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0.0416666666666666,0.0536580331070378,0.0404992693648482,0.0586204568194513,-0.0020161196987162,-0.0133935926773456,-0.013496306448642,-0.196138679394793,-0.211797074954296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258.372434459709
"2011-09-04",8.30947,46.1063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9446,5.63133,NA,NA,2188.45,492,0.70633,0.61835,0.987,76.902,0.94252,6.3715,29.1423,NA,NA,NA,NA,NA,NA,NA,47,0.0596833130328865,0.00927375632862258,-0.0363530304049432,0.00267396778930672,0.020136395165399,-0.0382958580429519,-0.0492597254004578,-0.18501049451735,-0.247289707773973,NA,66163,-880.10593809208,NA,-59652.4541631577,NA,NA,NA,NA,NA,NA,NA,1.67815757202325,263.368181123465
"2011-09-05",7.96607,48.0915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0.78,NA,NA,2132.14,1106,0.71108,0.62112,0.9912,76.902,0.95101,6.3777,29.4639,NA,NA,NA,NA,NA,NA,NA,73,0.0874172185430465,-0.0124867092556302,-0.0413263421132755,-0.0761770347468496,-0.0387628796316295,-0.0220221105034099,-0.0780395724252229,-0.110184864562971,-0.296929499399845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50638897222846,267.652681937266
"2011-09-06",7.01713,62.5145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.25,0.22,NA,NA,1810.84,1256,0.71412,0.62703,0.9898,77.617996,0.95311,6.39,29.5797,NA,NA,NA,15.261292,36.695419,42.43306,891.409973,55,0.165644171779141,-0.0521680516108438,-0.11912272927554,-0.155526164725307,-0.186225347735227,-0.15326806889087,-0.138521505871376,-0.189941702741703,-0.364752903687208,NA,84364,578.043268417709,NA,343574.189508614,NA,NA,NA,NA,NA,NA,NA,1.88823635873926,258.059919083728
"2011-09-07",6.93835,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1864.54,516,0.70994,0.62555,0.98408,77.301003,0.9389,6.392,29.399401,NA,NA,NA,15.714251,37.783882,43.696808,913.900024,40,0.0920245398773007,0.0148262915534674,-0.0112268121012437,-0.12901217287822,-0.165006913798353,-0.195361442848959,-0.162774169181556,-0.195786728484497,-0.358433428574071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.72959709441
