temperature,dewPoint,precipitation,windChill,visibility,humidity,windDir,pressure,windSpeed,time,Date,conditions,events,gustSpeed
42.8,41.0,0.00,40.1,2.5,93%,ENE,30.13,4.6,12:00 AM,"Monday, May 2, 2016",,,"
  -
"
42.8,41.0,0.00,40.1,3.0,93%,East,30.13,4.6,12:06 AM,"Monday, May 2, 2016",,,"
  -
"
43.0,41.0,0.00,39.5,3.0,93%,ENE,30.11,5.8,12:54 AM,"Monday, May 2, 2016",,,"
  -
"
42.8,41.0,0.00,39.3,3.0,93%,ENE,30.11,5.8,12:56 AM,"Monday, May 2, 2016",,,"
  -
"
44.1,43.0,0.01,40.8,5.0,96%,NE,30.09,5.8,1:54 AM,"Monday, May 2, 2016",,,"
  -
"
46.0,44.1,0.00,42.5,4.0,93%,ENE,30.09,6.9,2:54 AM,"Monday, May 2, 2016",,,"
  -
"
46.4,44.6,0.00,42.4,2.5,93%,ENE,30.08,8.1,3:07 AM,"Monday, May 2, 2016",,,"
  -
"
46.0,44.1,0.00,41.9,3.0,93%,ENE,30.07,8.1,3:54 AM,"Monday, May 2, 2016",,,"
  -
"
46.0,45.0,0.01,42.5,6.0,96%,ENE,30.06,6.9,4:54 AM,"Monday, May 2, 2016",,,"
  -
"
46.0,45.0,0.00,41.0,6.0,96%,NE,30.06,10.4,5:54 AM,"Monday, May 2, 2016",,,"
  -
"
46.4,44.6,0.00,41.5,0.5,93%,NE,30.06,10.4,6:08 AM,"Monday, May 2, 2016",,,"
  -
"
46.0,45.0,0.00,41.0,0.5,96%,NE,30.06,10.4,6:54 AM,"Monday, May 2, 2016",,,"
  -
"
46.0,45.0,N/A,40.2,0.5,96%,NE,30.05,12.7,7:54 AM,"Monday, May 2, 2016",,,18.4
46.4,44.6,N/A,40.7,1.0,93%,NE,30.05,12.7,8:26 AM,"Monday, May 2, 2016",,,"
  -
"
48.0,46.9,N/A,"
  -
",1.0,96%,NE,30.03,9.2,9:54 AM,"Monday, May 2, 2016",,,"
  -
"
48.0,46.9,N/A,"
  -
",1.0,96%,NE,30.01,10.4,10:54 AM,"Monday, May 2, 2016",,,"
  -
"
48.0,46.9,0.03,"
  -
",1.0,96%,ENE,29.96,12.7,11:54 AM,"Monday, May 2, 2016",,,"
  -
"
46.9,46.0,0.13,"
  -
",1.0,97%,NE,29.98,6.9,12:54 PM,"Monday, May 2, 2016",,,"
  -
"
46.4,46.4,0.10,41.1,1.0,100%,East,29.95,11.5,1:11 PM,"Monday, May 2, 2016",,,"
  -
"
48.2,48.2,0.18,"
  -
",1.0,100%,ENE,29.94,10.4,1:33 PM,"Monday, May 2, 2016",,,"
  -
"
48.9,48.0,0.18,"
  -
",2.0,97%,ENE,29.92,13.8,1:54 PM,"Monday, May 2, 2016",,,"
  -
"
48.2,46.4,0.00,"
  -
",1.5,93%,East,29.90,11.5,2:18 PM,"Monday, May 2, 2016",,,"
  -
"
48.0,46.9,0.02,"
  -
",1.5,96%,East,29.89,8.1,2:54 PM,"Monday, May 2, 2016",,,"
  -
"
48.0,46.9,0.01,"
  -
",1.5,96%,Calm,29.88,Calm,3:54 PM,"Monday, May 2, 2016",,,"
  -
"
50.0,46.9,0.00,"
  -
",1.5,89%,Variable,29.87,4.6,4:54 PM,"Monday, May 2, 2016",,,"
  -
"
50.0,48.0,0.00,"
  -
",1.5,93%,WNW,29.88,9.2,5:54 PM,"Monday, May 2, 2016",,,"
  -
"
51.1,48.9,0.00,"
  -
",1.5,92%,North,29.90,8.1,6:54 PM,"Monday, May 2, 2016",,,"
  -
"
