category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol
Red,US,Winc 2011 Porter and Plot Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,31.0,750 ml,86,Winc,"This 100% varietal wine is aged in American oak, offering an approachable, rounded, full-bodied impression of pencil shavings, cherry, leather and tobacco bound by firm tannins.",14.7%
Red,US,Challen 2012 Jasper Pinot Noir (Santa Maria Valley),Pinot Noir,85.0,750 ml,87,Challen,"Moderately hollow on the nose, this shows wet slate and damp clay aromas, a bit of a miss for a winery whose recent vintages have been extremely impressive. Pomegranate and raspberry fruit mark the palate, underscored by wet clay earthiness and tangy acidity.",14.7%
White,US,Lawer 2015 Cannon Block Chardonnay (Knights Valley),Chardonnay,26.0,750 ml,86,Lawer,"From an estate vineyard, this wine is robust, full-bodied and viscous, with an underlying hint of petrol and plenty of oak. There's a tartness behind its flavors that gives it a lift as it finds its way to the finish.",14.9%
White,US,August West 2014 Rosella's Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,38.0,750 ml,91,August West,"San Francisco-based winemaker Ed Kurtzman heads to this famed vineyard south of Salinas to create this restrained bottling from a region where power and richness usually reign. Flint, Meyer lemon, honeysuckle and grapefruit aromas show on the nose. The palate offers nectarine, white peach and Asian pear flavor, proving delicate but not shy.",14.2%
White,US,Firestone 2015 Barrel Select Sauvignon Blanc (Santa Ynez Valley),Sauvignon Blanc,20.0,750 ml,87,Firestone,"Bright acidity translates to the aromas in this bottling: laser-sharp lime zest, squeezed grapefruit, dewy grass and wet gravel. Those scents grow riper as the wine warms, while the palate seems sweetermore lime candy than fresh lime. It finishes tart, with a wet metal freshness.",14.2%
Red,US,Tortoise Creek 2014 The Chelonian Zinfandel (Lodi),Zinfandel,12.0,750 ml,90,Tortoise Creek,"Nicely dry and well structured, this full-bodied wine will provide serious enjoyment at the dinner table. It has all the ripe, juicy berry qualities of the grape variety and adds moderate tannins for a firmer mouthfeel. Layers of blackberry, cherry and pepper flavors make it especially interesting.",14.6%
Red,US,Slow Press 2015 Cabernet Sauvignon (California),Cabernet Sauvignon,16.0,750 ml,91,Slow Press,"Generous and flavorful, this is one of the best California AVA wines available. It's concentrated and tannic, with medium-full body, a hint of sweetness and layers of dark cherry and plum fruit. Baking spice nuances linger on the finish. Best after 2019.",13.5%
White,US,The Naked Grape NV Moscato (California),Moscato,18.0,3 L,86,The Naked Grape,"Rose petal aromas and lychee flavors make this a colorful and lively wine to sniff and sip. The powerful floral and fruity character rests in a soft, sweet texture that carries into a lingering finish.",9%
Red,US,Ironstone 2013 Estate Grown Reserve Cabernet Sauvignon (Sierra Foothills),Cabernet Sauvignon,30.0,750 ml,91,Ironstone,"Big, bold and tannic, this layered and nicely ripe wine is an iron fist in a velvet glove. It smells like espresso and dark chocolate, tastes equally roasted and rich, but backs its darker flavors with blueberry and blackberry notes, finishing smooth. Best after 2019.",14.5%
White,US,Dr. Konstantin Frank 2014 Chardonnay (Finger Lakes),Chardonnay,15.0,750 ml,87,Dr. Konstantin Frank,"Fresh lemon and tangerine brighten slightly savory, pressed apple and pear flavors in this full-bodied Chardonnay. Zesty acidity and sharp tangy wood notes lend angularity to the midpalate and drive a brisk finish.",13%
White,US,Flor De Campo 2015 Chardonnay (Santa Barbara County),Chardonnay,19.0,750 ml,87,Flor De Campo,"Round and ripe yellow melon and baked apple aromas make for a voluptuous nose in this bottling, which also shows a touch of vanilla. The palate is more restrained, with kumquat and lemon flavors cut by a smoky character.",13.5%
Red,US,Orsi Family Vineyards 2013 Aglianico (Dry Creek Valley),Aglianico,34.0,750 ml,86,Orsi Family Vineyards,"Dried cranberry and currant flavors with raisin-plum cake undertones define this light-bodied wine that's mildly tannic, tart, simple and easy to like.",13.8%
Red,US,Cambiata 2014 Aero Bos Red (Monterey),Red Blend,45.0,750 ml,91,Cambiata,"Veteran winemaker Eric Laumann pushes the varietal envelope by blending Dornfelder, Tannat, Cabernet Sauvignon and Syrah in this wine. Vanilla, baked black cherry, spice cake, cola and strawberry scents show on the nose, while the palate strikes a balance between judicious tannins and vibrant acidity, integrating red berry, baking spice, mulberry and dark chocolate flavors.",14.5%
Rose,US,Obelisco Estate 2015 Estate Grown Cabernet Ros (Red Mountain),Ros,35.0,750 ml,86,Obelisco Estate,"This wine is a pale cherry-red in color, showing some bricking. It brings off-dry elegantly styled cherry flavors that winnow toward the finish.",14%
Red,US,Conn Creek 2013 Anthology Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,55.0,750 ml,87,Conn Creek,"Compost and pencil shaving scents meet reductive mushroom-like notes on the nose of this grippy, full-bodied wine that includes small amounts of Cabernet Franc and Petit Verdot. Bittersweet chocolate rounds out the finish.",14.5%
White,US,Ironstone 2015 Chardonnay (Lodi),Chardonnay,12.0,750 ml,87,Ironstone,"Light oak and butter aromas add complexity to this fresh and fruity wine. It has medium body, crisp acidity, mild citrus and green apple flavors with a tangy finish.",11.5%
Red,US,Rubino Estates Winery 2012 Salut Red (Livermore Valley),Red Blend,15.0,750 ml,85,Rubino Estates Winery,"While light in color, this wine is flavorful and easy to enjoy. Its smoothly textured, medium-bodied palate carries generous red cherry and plum flavors.",14.8%
