name
Tim Raines
Ivan Rodriguez
John Schuerholz
Bud Selig
Ken Griffey
Mike Piazza
Craig Biggio
Randy Johnson
Pedro Martinez
John Smoltz
Bobby Cox
Tom Glavine
Tony La Russa
Greg Maddux
Frank Thomas
Joe Torre
Hank O'Day
Jacob Ruppert
Deacon White
Barry Larkin
Ron Santo
Roberto Alomar
Bert Blyleven
Pat Gillick
Andre Dawson
Doug Harvey
Whitey Herzog
Joe Gordon
Rickey Henderson
Jim Rice
Barney Dreyfuss
Rich Gossage
Bowie Kuhn
Walter O'Malley
Billy Southworth
Dick Williams
Tony Gwynn
Cal Ripken
Ray Brown
Willard Brown
Andy Cooper
Frank Grant
Pete Hill
Biz Mackey
Effa Manley
Jose Mendez
Alex Pompez
Cum Posey
Louis Santop
Bruce Sutter
Mule Suttles
Ben Taylor
Cristobal Torriente
Sol White
J.L. Wilkinson
Jud Wilson
Wade Boggs
Ryne Sandberg
Dennis Eckersley
Paul Molitor
Gary Carter
Eddie Murray
Ozzie Smith
Bill Mazeroski
Kirby Puckett
Hilton Smith
Dave Winfield
Sparky Anderson
Carlton Fisk
Bid McPhee
Tony Perez
Turkey Stearnes
George Brett
Orlando Cepeda
Nestor Chylak
Nolan Ryan
Frank Selee
Smokey Joe Williams
Robin Yount
George Davis
Larry Doby
Lee MacPhail
Bullet Rogan
Don Sutton
Nellie Fox
Tom Lasorda
Phil Niekro
Willie Wells
Jim Bunning
Bill Foster
Ned Hanlon
Earl Weaver
Richie Ashburn
Leon Day
William Hulbert
Mike Schmidt
Vic Willis
Steve Carlton
Leo Durocher
Phil Rizzuto
Reggie Jackson
Rollie Fingers
Bill McGowan
Hal Newhouser
Tom Seaver
Rod Carew
Fergie Jenkins
Tony Lazzeri
Gaylord Perry
Bill Veeck
Joe Morgan
Jim Palmer
Al Barlick
Johnny Bench
Red Schoendienst
Carl Yastrzemski
Willie Stargell
Ray Dandridge
Catfish Hunter
Billy Williams
Bobby Doerr
Ernie Lombardi
Willie McCovey
Lou Brock
Enos Slaughter
Arky Vaughan
Hoyt Wilhelm
Luis Aparicio
Don Drysdale
Rick Ferrell
Harmon Killebrew
Pee Wee Reese
Walter Alston
George Kell
Juan Marichal
Brooks Robinson
Hank Aaron
Happy Chandler
Travis Jackson
Frank Robinson
Rube Foster
Bob Gibson
Johnny Mize
Al Kaline
Chuck Klein
Duke Snider
Tom Yawkey
Warren Giles
Willie Mays
Hack Wilson
Addie Joss
Larry MacPhail
Eddie Mathews
Ernie Banks
Martin Dihigo
Pop Lloyd
Al Lopez
Amos Rusie
Joe Sewell
Oscar Charleston
Roger Connor
Cal Hubbard
Bob Lemon
Freddie Lindstrom
Robin Roberts
Earl Averill
Bucky Harris
Billy Herman
Judy Johnson
Ralph Kiner
Cool Papa Bell
Jim Bottomley
Jocko Conlan
Whitey Ford
Mickey Mantle
Sam Thompson
Roberto Clemente
Billy Evans
Monte Irvin
High Pockets Kelly
Warren Spahn
Mickey Welch
Yogi Berra
Josh Gibson
Lefty Gomez
Will Harridge
Sandy Koufax
Buck Leonard
Early Wynn
Ross Youngs
Dave Bancroft
Jake Beckley
Chick Hafey
Harry Hooper
Joe Kelley
Rube Marquard
Satchel Paige
George Weiss
Lou Boudreau
Earle Combs
Ford Frick
Jesse Haines
Roy Campanella
Stan Coveleski
Waite Hoyt
Stan Musial
Kiki Cuyler
Goose Goslin
Joe Medwick
Branch Rickey
Red Ruffing
Lloyd Waner
Casey Stengel
Ted Williams
Pud Galvin
Luke Appling
Red Faber
Burleigh Grimes
Miller Huggins
Tim Keefe
Heinie Manush
John Ward
John Clarkson
Elmer Flick
Sam Rice
Eppa Rixey
Bob Feller
Bill McKechnie
Jackie Robinson
Edd Roush
Max Carey
Billy Hamilton
Zack Wheat
Sam Crawford
Joe McCarthy
Joe Cronin
Hank Greenberg
Home Run Baker
Joe DiMaggio
Gabby Hartnett
Ted Lyons
Ray Schalk
Dazzy Vance
Bill Dickey
Rabbit Maranville
Bill Terry
Ed Barrow
Chief Bender
Tommy Connolly
Dizzy Dean
Bill Klem
Al Simmons
Bobby Wallace
Harry Wright
Harry Heilmann
Paul Waner
Jimmie Foxx
Mel Ott
Mordecai Brown
Charlie Gehringer
Kid Nichols
Herb Pennock
Pie Traynor
Mickey Cochrane
Frankie Frisch
Lefty Grove
Carl Hubbell
Jesse Burkett
Frank Chance
Jack Chesbro
Johnny Evers
Clark Griffith
Tommy McCarthy
Joe McGinnity
Eddie Plank
Joe Tinker
Rube Waddell
Ed Walsh
Roger Bresnahan
Dan Brouthers
Fred Clarke
Jimmy Collins
Ed Delahanty
Hugh Duffy
Hughie Jennings
King Kelly
Jim O'Rourke
Wilbert Robinson
Kenesaw Landis
Rogers Hornsby
Cap Anson
Eddie Collins
Charlie Comiskey
Candy Cummings
Buck Ewing
Lou Gehrig
Willie Keeler
Old Hoss Radbourn
George Sisler
Al Spalding
Pete Alexander
Alexander Cartwright
Henry Chadwick
Morgan Bulkeley
Ban Johnson
Nap Lajoie
Connie Mack
John McGraw
Tris Speaker
George Wright
Cy Young
Ty Cobb
Walter Johnson
Christy Mathewson
Babe Ruth
Honus Wagner
