date,price
30-May-17,56.6021
29-May-17,56.4855
26-May-17,56.5203
25-May-17,56.9672
24-May-17,56.4127
23-May-17,56.3695
22-May-17,56.6293
19-May-17,56.9264
18-May-17,57.5828
17-May-17,57.0978
16-May-17,56.5699
15-May-17,56.352
12-May-17,57.0974
11-May-17,57.0558
10-May-17,57.4522
5-May-17,57.9436
4-May-17,58.3694
3-May-17,57.3911
2-May-17,57.0137
28-Apr-17,56.9311
27-Apr-17,56.9705
26-Apr-17,57.1535
25-Apr-17,56.1574
24-Apr-17,55.8438
21-Apr-17,56.4576
20-Apr-17,56.2073
19-Apr-17,56.5833
18-Apr-17,56.2408
17-Apr-17,55.9267
14-Apr-17,56.3578
13-Apr-17,56.2679
12-Apr-17,56.6023
11-Apr-17,56.9215
10-Apr-17,57.1778
7-Apr-17,57.248
6-Apr-17,56.3955
5-Apr-17,56.379
4-Apr-17,56.0787
3-Apr-17,56.083
31-Mar-17,56.2665
30-Mar-17,56.0929
29-Mar-17,56.6068
28-Mar-17,57.0335
27-Mar-17,56.9101
24-Mar-17,56.8904
23-Mar-17,57.4353
22-Mar-17,57.7887
21-Mar-17,57.698
20-Mar-17,57.2987
17-Mar-17,57.2234
16-Mar-17,57.7819
15-Mar-17,58.396
14-Mar-17,59.1627
13-Mar-17,58.7928
10-Mar-17,58.9965
9-Mar-17,59.2998
7-Mar-17,58.1777
6-Mar-17,58.2036
3-Mar-17,58.2217
2-Mar-17,58.8302
1-Mar-17,58.2831
28-Feb-17,58.3058
27-Feb-17,58.0784
24-Feb-17,58.4175
22-Feb-17,58.0668
21-Feb-17,57.4153
20-Feb-17,57.9656
17-Feb-17,58.427
16-Feb-17,57.5993
15-Feb-17,57.2565
14-Feb-17,57.1288
13-Feb-17,57.9851
10-Feb-17,58.2219
9-Feb-17,58.96
8-Feb-17,59.2323
7-Feb-17,59.3378
6-Feb-17,58.903
3-Feb-17,58.9824
2-Feb-17,59.4117
1-Feb-17,60.128
31-Jan-17,60.1589
30-Jan-17,59.9332
27-Jan-17,59.8178
26-Jan-17,60.4317
25-Jan-17,59.5145
24-Jan-17,59.2511
23-Jan-17,59.5022
20-Jan-17,59.7521
19-Jan-17,59.7304
18-Jan-17,59.5544
17-Jan-17,59.4025
16-Jan-17,59.8588
13-Jan-17,59.6869
