,Date,Favorite,Spread,Underdog,Total,Money Odds,Year,Week,Away,Home,Favprob,Dogprob,Awayprob,Homeprob,Awayspread,Homespread,Home Score,Away Score,Overtime?,Homewins,Over,Homecover,Totalscore,Awaycover,Awaywins,Favwins,Favbinned,FavbinnedMP,Favcover,Dogcover,Spreadpush
0,2016-12-08,Kansas City,-3.5,Oakland,46.0,"['-195', '+170']",2016,14,Oakland,Kansas City,0.640900791236,0.359099208764,0.359099208764,0.640900791236,3.5,-3.5,21,13,,1,0.0,1.0,34,0.0,0,1,"(0.633, 0.66]",0.6465,1,0,0
1,2016-12-11,Tennessee,-2.0,Denver,44.0,"['-130', '+110']",2016,14,Denver,Tennessee,0.542743538767,0.457256461233,0.457256461233,0.542743538767,2.0,-2.0,13,10,,1,0.0,1.0,23,0.0,0,1,"(0.527, 0.553]",0.54,1,0,0
2,2016-12-11,Carolina,-1.0,San Diego,48.5,"['-120', '+100']",2016,14,San Diego,Carolina,0.521739130435,0.478260869565,0.478260869565,0.521739130435,1.0,-1.0,28,16,,1,0.0,1.0,44,0.0,0,1,"(0.5, 0.527]",0.5135,1,0,0
3,2016-12-11,Indianapolis,-6.5,Houston,47.5,"['-290', '+240']",2016,14,Houston,Indianapolis,0.716569767442,0.283430232558,0.283430232558,0.716569767442,6.5,-6.5,17,22,,0,0.0,0.0,39,1.0,1,0,"(0.713, 0.74]",0.7265,0,1,0
4,2016-12-11,Cincinnati,-5.0,Cleveland,41.5,"['-220', '+180']",2016,14,Cincinnati,Cleveland,0.65811965812,0.34188034188,0.65811965812,0.34188034188,-5.0,5.0,10,23,,0,0.0,0.0,33,1.0,1,1,"(0.633, 0.66]",0.6465,1,0,0
5,2016-12-11,Pittsburgh,-2.0,Buffalo,45.5,"['-130', '+110']",2016,14,Pittsburgh,Buffalo,0.542743538767,0.457256461233,0.542743538767,0.457256461233,-2.0,2.0,20,27,,0,1.0,0.0,47,1.0,1,1,"(0.527, 0.553]",0.54,1,0,0
6,2016-12-11,Arizona,-2.0,Miami,44.0,"['-130', '+110']",2016,14,Arizona,Miami,0.542743538767,0.457256461233,0.542743538767,0.457256461233,-2.0,2.0,26,23,,1,1.0,1.0,49,0.0,0,0,"(0.527, 0.553]",0.54,0,1,0
7,2016-12-11,Detroit,-7.5,Chicago,42.0,"['-360', '+300']",2016,14,Chicago,Detroit,0.757894736842,0.242105263158,0.242105263158,0.757894736842,7.5,-7.5,20,17,,1,0.0,0.0,37,1.0,0,1,"(0.74, 0.767]",0.7535,0,1,0
8,2016-12-11,Minnesota,-3.5,Jacksonville,38.0,"['-180', '+160']",2016,14,Minnesota,Jacksonville,0.625668449198,0.374331550802,0.625668449198,0.374331550802,-3.5,3.5,16,25,,0,1.0,0.0,41,1.0,1,1,"(0.607, 0.633]",0.62,1,0,0
9,2016-12-11,Tampa Bay,-2.0,New Orleans,52.0,"['-130', '+110']",2016,14,New Orleans,Tampa Bay,0.542743538767,0.457256461233,0.457256461233,0.542743538767,2.0,-2.0,16,11,,1,0.0,1.0,27,0.0,0,1,"(0.527, 0.553]",0.54,1,0,0
10,2016-12-11,Washington,-2.5,Philadelphia,48.5,"['-135', '+115']",2016,14,Washington,Philadelphia,0.552594002856,0.447405997144,0.552594002856,0.447405997144,-2.5,2.5,22,27,,0,1.0,0.0,49,1.0,1,1,"(0.527, 0.553]",0.54,1,0,0
11,2016-12-11,San Francisco,-3.0,NY Jets,43.0,"['-145', '+125']",2016,14,NY Jets,San Francisco,0.571115973742,0.428884026258,0.428884026258,0.571115973742,3.0,-3.0,17,23,Y,0,0.0,0.0,40,1.0,1,0,"(0.553, 0.58]",0.5665,0,1,0
12,2016-12-11,Seattle,-3.0,Green Bay,47.0,"['-150', '+130']",2016,14,Seattle,Green Bay,0.579831932773,0.420168067227,0.579831932773,0.420168067227,-3.0,3.0,38,10,,1,1.0,1.0,48,0.0,0,0,"(0.553, 0.58]",0.5665,0,1,0
13,2016-12-11,Atlanta,-5.0,Los Angeles,44.0,"['-235', '+195']",2016,14,Atlanta,St. Louis,0.674203744226,0.325796255774,0.674203744226,0.325796255774,-5.0,5.0,14,42,,0,1.0,0.0,56,1.0,1,1,"(0.66, 0.687]",0.6735,1,0,0
14,2016-12-11,Dallas,-3.5,NY Giants,47.0,"['-200', '+170']",2016,14,Dallas,NY Giants,0.642857142857,0.357142857143,0.642857142857,0.357142857143,-3.5,3.5,10,7,,1,0.0,1.0,17,0.0,0,0,"(0.633, 0.66]",0.6465,0,1,0
15,2016-12-12,New England,-6.0,Baltimore,45.5,"['-260', '+220']",2016,14,Baltimore,New England,0.697986577181,0.302013422819,0.302013422819,0.697986577181,6.0,-6.0,30,23,,1,1.0,1.0,53,0.0,0,1,"(0.687, 0.713]",0.7,1,0,0
16,2015-12-10,Arizona,-10.0,Minnesota,46.5,"['-500', '+400']",2015,14,Minnesota,Arizona,0.806451612903,0.193548387097,0.193548387097,0.806451612903,10.0,-10.0,23,20,,1,0.0,0.0,43,1.0,0,1,"(0.793, 0.82]",0.8065,0,1,0
17,2015-12-13,Cincinnati,-1.0,Pittsburgh,48.5,"['-120', '+100']",2015,14,Pittsburgh,Cincinnati,0.521739130435,0.478260869565,0.478260869565,0.521739130435,1.0,-1.0,20,33,,0,1.0,0.0,53,1.0,1,0,"(0.5, 0.527]",0.5135,0,1,0
18,2015-12-13,Philadelphia,-1.0,Buffalo,48.5,"['-120', '+100']",2015,14,Buffalo,Philadelphia,0.521739130435,0.478260869565,0.478260869565,0.521739130435,1.0,-1.0,23,20,,1,0.0,1.0,43,0.0,0,1,"(0.5, 0.527]",0.5135,1,0,0
19,2015-12-13,Carolina,-8.5,Atlanta,45.5,"['-380', '+320']",2015,14,Atlanta,Carolina,0.768786127168,0.231213872832,0.231213872832,0.768786127168,8.5,-8.5,38,0,,1,0.0,1.0,38,0.0,0,1,"(0.767, 0.793]",0.78,1,0,0
20,2015-12-13,Cleveland,-2.5,San Francisco,43.0,"['-140', '+120']",2015,14,San Francisco,Cleveland,0.56204379562,0.43795620438,0.43795620438,0.56204379562,2.5,-2.5,24,10,,1,0.0,1.0,34,0.0,0,1,"(0.553, 0.58]",0.5665,1,0,0
21,2015-12-13,Chicago,-4.0,Washington,43.5,"['-205', '+175']",2015,14,Washington,Chicago,0.648920863309,0.351079136691,0.351079136691,0.648920863309,4.0,-4.0,21,24,,0,1.0,0.0,45,1.0,1,0,"(0.633, 0.66]",0.6465,0,1,0
22,2015-12-13,Detroit,-3.0,St. Louis,41.5,"['-160', '+140']",2015,14,Detroit,St. Louis,0.596273291925,0.403726708075,0.596273291925,0.403726708075,-3.0,3.0,21,14,,1,0.0,1.0,35,0.0,0,0,"(0.58, 0.607]",0.5935,0,1,0
23,2015-12-13,Kansas City,-12.0,San Diego,41.5,"['-700', '+500']",2015,14,San Diego,Kansas City,0.84,0.16,0.16,0.84,12.0,-12.0,10,3,,1,0.0,0.0,13,1.0,0,1,"(0.82, 0.847]",0.8335,0,1,0
24,2015-12-13,Tampa Bay,-6.0,New Orleans,51.5,"['-245', '+205']",2015,14,New Orleans,Tampa Bay,0.684138246738,0.315861753262,0.315861753262,0.684138246738,6.0,-6.0,17,24,,0,0.0,0.0,41,1.0,1,0,"(0.66, 0.687]",0.6735,0,1,0
