"12/8 4:05 ET" "At Denver" -12.5 Tennessee 50 "-$800 +$575" 2013 14
"12/8 4:25 ET" "At Arizona" -4.5 "St. Louis" 41 "-$220 +$185" 2013 14
"12/8 4:25 ET" "At San Diego" -4.5 "NY Giants" 47 "-$205 +$175" 2013 14
"12/8 4:25 ET" "At San Francisco" -2.5 Seattle 41.5 "-$135 +$115" 2013 14
"12/8 1:00 ET" "At Green Bay" -3.5 Atlanta 47 "-$185 +$165" 2013 14
"12/9 8:40 ET" "At Chicago" -1.5 Dallas 49 "-$125 +$105" 2013 14
"12/6 8:25 ET" Denver -10 "At Oakland" 47 "-$600 +$450" 2012 14
"12/9 1:00 ET" "At Washington" -2 Baltimore 48 "-$130 +$110" 2012 14
"12/9 1:00 ET" "At Cleveland" -7 "Kansas City" 38 "-$330 +$270" 2012 14
"12/9 1:00 ET" "At Pittsburgh" -7.5 "San Diego" 38 "-$380 +$320" 2012 14
"12/9 1:00 ET" "At Indianapolis" -3.5 Tennessee 47 "-$200 +$175" 2012 14
"12/9 1:00 ET" "NY Jets" -3 "At Jacksonville" 39 "-$175 +$155" 2012 14
"12/9 1:00 ET" Chicago -1.5 "At Minnesota" 40.5 "-$125 +$105" 2012 14
"12/9 1:00 ET" Atlanta -3.5 "At Carolina" 47 "-$175 +$155" 2012 14
"12/9 1:00 ET" "At Tampa Bay" -7 Philadelphia 48 "-$340 +$280" 2012 14
"12/9 1:00 ET" "At Buffalo" -3.5 "St. Louis" 42.5 "-$185 +$165" 2012 14
"12/9 1:00 ET" "At Cincinnati" -3 Dallas 46 "-$175 +$155" 2012 14
"12/9 4:05 ET" "At San Francisco" -11 Miami 38.5 "-$575 +$425" 2012 14
"12/9 4:25 ET" "At NY Giants" -4.5 "New Orleans" 52.5 "-$225 +$185" 2012 14
"12/9 4:25 ET" "At Seattle" -10.5 Arizona 36 "-$575 +$425" 2012 14
"12/9 8:30 ET" "At Green Bay" -6 Detroit 49.5 "-$285 +$245" 2012 14
"12/10 8:40 ET" "At New England" -5.5 Houston 51 "-$260 +$220" 2012 14
"12/8 8:25 ET" "At Pittsburgh" -14 Cleveland 40 "-$1100 +$750" 2011 14
"12/11 1:00 ET" "At Baltimore" -16 Indianapolis 41.5 "-$1500 +$1000" 2011 14
"12/11 1:00 ET" "At Cincinnati" -2.5 Houston 37.5 "-$140 +$120" 2011 14
"12/11 4:15 ET" "At Green Bay" -12 Oakland 50 "-$750 +$550" 2011 14
"12/11 1:00 ET" "At NY Jets" -11 "Kansas City" 35.5 "-$700 +$500" 2011 14
