Country,Number of Restaurants,,,,,
France,610,,,,,
Italia,342,,,,,
Deutschland,278,,,,,
Espana,173,,,,,
United States of America,165,,,,,
UK,160,,,,,
Belgium,132,,,,,
Swisserland,113,,,,,
Nederland,106,,,,,
China,106,,,,,
Japan,227,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
