"","btc_usd","usd_vol","btc_eur","eur_vol","btc_cad","cad_vol","btc_aud","aud_vol","btc_gbp","gbp_vol","btc_jpy","jpy_vol","btc_cny","cny_vol","btc_brl","brl_vol","btc_rub","rub_vol","btc_sll","sll_vol","USDEUR","USDGBP","USDCAD","USDJPY","USDAUD","USDCNY","USDRUB","USDSLL","oil","gold","VTWSX","EEM","EFA","XCI","btc_USDEUR","btc_USDGBP","btc_USDCAD","btc_USDAUD","btc_USDJPY","btc_USDCNY","btc_USDRUB","btc_USDBRL","btc_USDSLL"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71592,0.61946,1.0661,89.778,1.1191,6.8169,30.353001,NA,NA,NA,14.394192,33.678619,43.135509,830.809998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72114,0.62559,1.07,90.269997,1.1308,6.8169,30.3496,NA,NA,NA,14.257592,33.313107,42.511765,812.570007,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71803,0.62686,1.0617,90.760002,1.1211,6.817,30.285,NA,NA,NA,14.488103,34.209473,43.28941,823.609985,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7155,0.62531,1.05718,90.428001,1.127,6.815,30.065001,NA,NA,NA,14.658852,34.487953,44.010368,830.650024,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71937,0.62814,1.0618,90.839996,1.1335,6.8169,29.993999,NA,NA,NA,14.582014,34.287792,43.548637,834.23999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72754,0.63412,1.072,89.410004,1.1508,6.8169,30.165001,NA,NA,NA,14.069767,32.738747,41.77462,811.719971,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73099,0.63865,1.0709,89.220001,1.1513,6.8185,30.1108,NA,NA,NA,13.992931,32.373238,41.701698,822.330017,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73235,0.64201,1.07458,89.220001,1.1581,6.817,30.530001,NA,NA,NA,13.873405,32.05125,40.87545,817.799988,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72558,0.63719,1.0672,89.767998,1.1396,6.8166,30.3277,NA,NA,NA,14.129527,33.095551,42.163437,827.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7271,0.64053,1.062,89.93,1.1405,6.819,30.296801,NA,NA,NA,14.103916,33.008526,41.896118,824.380005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7309,0.63686,1.0502,89.809998,1.1233,6.8238,30.131599,NA,NA,NA,14.249053,33.878784,42.284946,832.909973,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73341,0.63702,1.05045,89.949997,1.1245,6.8235,30.198999,NA,NA,NA,14.189291,33.452351,41.920425,832.900024,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73513,0.63828,1.04916,90.050003,1.1245,6.8234,30.219601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72637,0.63331,1.0434,90.244003,1.1095,6.8234,29.991501,NA,NA,NA,14.462492,34.313904,42.851982,846.049988,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73492,0.63767,1.0462,91.050003,1.1127,6.8234,30.1161,NA,NA,NA,14.513713,34.435726,42.908691,849.190002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74286,0.64838,1.05031,91.976997,1.124,6.8234,30.025999,NA,NA,NA,14.599092,34.566273,43.151707,856.650024,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73448,0.64666,1.0392,91.540001,1.1111,6.8191,29.9657,NA,NA,NA,14.556401,34.270386,42.884384,853.299988,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73499,0.64572,1.0422,91.235001,1.1109,6.8179,29.9755,NA,NA,NA,14.582014,34.313904,42.965393,852.289978,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73926,0.64742,1.055,90.160004,1.1201,6.8182,29.987,NA,NA,NA,14.368581,33.521976,42.357853,840.599976,NA,NA,NA,NA,NA,NA,NA,NA,NA
