feature,score
full_sq,0.670382972773
kremlin_km,0.373530402487
num_room,0.133449773653
sub_area_Hamovniki,0.113625874077
railroad_1line_no,0.109055462545
cafe_count_1000_price_high,0.0886995616321
state,0.0720244280396
sub_area_Nagatinskij Zaton,0.0639408813503
office_count_5000,0.0544766117571
floor,0.0491587578082
raion_build_count_with_material_info,0.047765716498
oil_chemistry_km,0.0440762826552
area_m,0.0408860185966
raion_build_count_with_builddate_info,0.0393901712261
cafe_count_2000_price_1000,0.0337507940623
mosque_count_1500,0.0318203058034
church_count_2000,0.0310720462624
hospice_morgue_km,0.0307959517337
cafe_sum_5000_min_price_avg,0.0302498611019
cafe_count_5000_price_high,0.0292541716912
cafe_count_1500_price_high,0.0284733991738
cafe_count_3000_price_1500,0.0283742405654
trc_count_2000,0.0274240387289
ice_rink_km,0.0266777946434
radiation_raion_no,0.0237774599312
exhibition_km,0.0234436862191
office_count_3000,0.0211101125391
healthcare_centers_raion,0.0189500204912
railroad_km,0.0175345495237
green_part_1500,0.0172316836308
thermal_power_plant_raion_no,0.0168206018086
cafe_count_2000,0.0167024987687
park_km,0.0165557364619
big_road2_km,0.0162375188903
cafe_count_5000_price_2500,0.0158528316443
cafe_count_3000_na_price,0.0154229303652
office_count_500,0.0149774170745
sport_count_2000,0.0149580438797
7_14_all,0.014736223512
power_transmission_line_km,0.0141891156966
leisure_count_3000,0.0128924866809
cafe_count_500,0.0125529238511
leisure_count_1000,0.0125308222468
7_14_female,0.0114630244872
children_school,0.0112062662026
shopping_centers_raion,0.00968199242799
big_church_count_1000,0.00957727550259
cafe_count_3000_price_1000,0.00951915276199
sport_count_3000,0.00938064121276
market_count_500,0.00907422559765
green_part_500,0.00905422921437
trc_sqm_3000,0.00879937212554
trc_count_5000,0.00805095770135
trc_count_1500,0.00768600197462
cafe_count_1000_na_price,0.00755501707464
16_29_female,0.00709408025708
ID_big_road1,0.00687198839643
incineration_km,0.00663098553416
gdp_deflator,0.00655228315977
cafe_sum_2000_min_price_avg,0.006141603285
green_part_3000,0.00583309484297
cafe_count_1500,0.00576822019879
rent_price_3room_eco,0.0057340223638
trc_sqm_5000,0.0055060160344
sport_objects_raion,0.00547538844362
cafe_count_1000,0.00544758556707
ID_metro,0.00534544491595
kitch_sq,0.00533058236044
hospital_beds_raion,0.00525703298566
ecology_good,0.00473150402992
sub_area_Otradnoe,0.00461370156097
max_floor,0.00455630074881
ID_railroad_station_walk,0.00422801643885
leisure_count_5000,0.00358279472027
balance_trade,0.00315870484622
cafe_count_500_price_1000,0.00290951330848
market_count_1000,0.00277747442926
office_sqm_2000,0.00277496855155
school_education_centers_raion,0.00265026881748
retail_trade_turnover_growth,0.00262016346532
sub_area_Zamoskvorech'e,0.00245749742089
mkad_km,0.00145292451504
life_sq,0.00132794138608
cafe_count_2000_price_4000,0.000725891590384
leisure_count_500,0.000653482195048
sub_area_Novogireevo,0.000588395342907
office_sqm_1000,0.000517539282575
brent,0.000409043769715
rent_price_1room_eco,0.000324354246364
rent_price_2room_eco,0.00031266860924
nuclear_reactor_raion_no,0.000304553982565
water_1line_no,0.000140486808195
rent_price_4+room_bus,0.000131422086615
retail_trade_turnover,4.04404044341e-05
labor_force,2.81830119807e-05
gdp_annual,6.18301778415e-06
load_on_doctors,3.98751038044e-06
