,gross,date_c,name,rate,budget,Director,length,actors,open_week,year,genre,rating,audience,First_Week
0,"$77,264,926","PG,2012-12-25",Parental Guidance,"6.1 based on 21,923 user ratings","$25,000,000",Andy Fickman,105M,"Billy Crystal,Bette Midler,Marisa Tomei","         $14,554,053        

      (USA)
      ",2012,"Comedy,Family",6.1,"21,923"," $14,554,053"
1,"$69,148,997","PG-13,2004-06-23",White Chicks,"5.5 based on 104,311 user ratings","$37,000,000",Keenen Ivory Wayans,109M,"Marlon Wayans,Shawn Wayans,Busy Philipps","         $19,676,748        

      (USA)
      ",2004,"Comedy,Crime",5.5,"104,311"," $19,676,748"
2,"$107,930,000","R,1994-10-14",Pulp Fiction,"8.9 based on 1,412,769 user ratings","$8,000,000",Quentin Tarantino,154M,"John Travolta,Uma Thurman,Samuel L. Jackson","         £4,243,233        

      (UK)
      ",1994,"Crime,Drama",8.9,"1,412,769"," £4,243,233"
3,"$71,277,420","R,2001-07-04",Scary Movie 2,"5.3 based on 125,077 user ratings","$45,000,000",Keenen Ivory Wayans,83M,"Anna Faris,Marlon Wayans,Antony Acker","         $20,503,356        

      (USA)
      ",2001,Comedy,5.3,"125,077"," $20,503,356"
4,"$79,235,468","PG-13,2011-03-18",Limitless,"7.4 based on 442,994 user ratings","$27,000,000",Neil Burger,105M,"Bradley Cooper,Anna Friel,Abbie Cornish","         $18,907,302        

      (USA)
      ",2011,"Mystery,Sci-Fi,Thriller",7.4,"442,994"," $18,907,302"
5,"$193,136,719","PG,2005-05-27",Madagascar,"6.9 based on 285,290 user ratings","$75,000,000",Eric Darnell,86M,"Chris Rock,Ben Stiller,David Schwimmer","         $61,012,130        

      (USA)
      ",2005,"Animation,Adventure,Comedy",6.9,"285,290"," $61,012,130"
6,"$37,371,385","R,2011-03-18",Paul,"7.0 based on 201,052 user ratings","$40,000,000",Greg Mottola,104M,"Simon Pegg,Nick Frost,Seth Rogen","         £5,517,121        

      (UK)
      ",2011,"Adventure,Comedy,Sci-Fi",7.0,"201,052"," £5,517,121"
9,"$22,858,926","R,1999-12-03",Being John Malkovich,"7.8 based on 264,768 user ratings","$13,000,000",Spike Jonze,112M,"John Cusack,Cameron Diaz,Catherine Keener","         $637,721        

      (USA)
      ",1999,"Comedy,Drama,Fantasy",7.8,"264,768"," $637,721"
11,"$42,575,718","R,2011-08-12",Final Destination 5,"5.9 based on 87,764 user ratings","$40,000,000",Steven Quale,92M,"Nicholas D'Agosto,Emma Bell,Arlen Escarpeta","         $18,031,396        

      (USA)
      ",2011,"Horror,Thriller",5.9,"87,764"," $18,031,396"
12,"$68,353,550","PG-13,2000-08-25",Bring It On,"5.9 based on 73,029 user ratings","$11,000,000",Peyton Reed,98M,"Kirsten Dunst,Eliza Dushku,Jesse Bradford","         $17,362,105        

      (USA)
      ",2000,"Comedy,Romance,Sport",5.9,"73,029"," $17,362,105"
13,"$125,305,545","PG-13,2000-11-03",Charlie's Angels,"5.5 based on 150,288 user ratings","$93,000,000",McG,98M,"Cameron Diaz,Drew Barrymore,Lucy Liu","         $40,128,550        

      (USA)
      ",2000,"Action,Adventure,Comedy",5.5,"150,288"," $40,128,550"
14,"$101,334,374","R,1997-12-12",Scream 2,"6.1 based on 130,420 user ratings","$24,000,000",Wes Craven,120M,"Neve Campbell,Courteney Cox,David Arquette","         $33,000,000        

      (USA)
      ",1997,"Horror,Mystery",6.1,"130,420"," $33,000,000"
15,"$60,491,560","R,1997-10-03",Kiss the Girls,"6.6 based on 53,121 user ratings","$27,000,000",Gary Fleder,115M,"Morgan Freeman,Ashley Judd,Cary Elwes","         $13,215,167        

      (USA)
      ",1997,"Crime,Drama,Mystery",6.6,"53,121"," $13,215,167"
16,"$62,933,793","PG,2010-03-31",The Last Song,"5.9 based on 64,799 user ratings","$20,000,000",Julie Anne Robinson,107M,"Miley Cyrus,Liam Hemsworth,Greg Kinnear","         $16,007,426        

      (USA)
      ",2010,"Drama,Family,Music",5.9,"64,799"," $16,007,426"
17,"$24,809,547","R,2011-08-26",Our Idiot Brother,"6.4 based on 76,949 user ratings","$5,000,000",Jesse Peretz,90M,"Paul Rudd,Elizabeth Banks,Zooey Deschanel","         $7,011,631        

      (USA)
      ",2011,"Comedy,Drama",6.4,"76,949"," $7,011,631"
19,"$16,816","R,2011-10-21",Trespass,"5.3 based on 35,781 user ratings","$35,000,000",Joel Schumacher,91M,"Nicolas Cage,Nicole Kidman,Cam Gigandet","         $16,816        

      (USA)
      ",2011,"Crime,Thriller",5.3,"35,781"," $16,816"
21,"$77,086,030","PG-13,2000-04-21",U-571,"6.6 based on 67,662 user ratings","$62,000,000",Jonathan Mostow,116M,"Matthew McConaughey,Bill Paxton,Harvey Keitel","         $19,553,310        

      (USA)
      ",2000,"Action,War",6.6,"67,662"," $19,553,310"
23,"$1,729,969","R,2011-11-10",Take Shelter,"7.4 based on 73,903 user ratings","$5,000,000",Jeff Nichols,120M,"Michael Shannon,Jessica Chastain,Shea Whigham","         $52,041        

      (USA)
      ",2011,"Drama,Thriller",7.4,"73,903"," $52,041"
24,"$7,871,693","PG,2008-10-10",City of Ember,"6.5 based on 55,153 user ratings","$55,000,000",Gil Kenan,90M,"Saoirse Ronan,Toby Jones,Bill Murray","         £496,909        

      (UK)
      ",2008,"Adventure,Family,Fantasy",6.5,"55,153"," £496,909"
25,"$3,073,392","R,2008-10-03",Blindness,"6.6 based on 61,405 user ratings","$25,000,000",Fernando Meirelles,121M,"Julianne Moore,Mark Ruffalo,Gael García Bernal","         $1,950,260        

      (USA)
      ",2008,"Drama,Mystery,Sci-Fi",6.6,"61,405"," $1,950,260"
26,"$182,618,434","PG-13,2000-06-30",The Perfect Storm,"6.4 based on 137,147 user ratings","$140,000,000",Wolfgang Petersen,130M,"George Clooney,Mark Wahlberg,John C. Reilly","         $41,325,042        

      (USA)
      ",2000,"Action,Adventure,Drama",6.4,"137,147"," $41,325,042"
27,"$37,899,638","PG-13,2005-08-26",The Brothers Grimm,"5.9 based on 102,069 user ratings","$88,000,000",Terry Gilliam,118M,"Matt Damon,Heath Ledger,Monica Bellucci","         $15,092,079        

      (USA)
      ",2005,"Adventure,Comedy,Fantasy",5.9,"102,069"," $15,092,079"
28,"$28,687,835","R,2008-01-25",Untraceable,"6.2 based on 42,223 user ratings","$35,000,000",Gregory Hoblit,101M,"Diane Lane,Colin Hanks,Joseph Cross","         $11,354,069        

      (USA)
      ",2008,"Crime,Mystery,Thriller",6.2,"42,223"," $11,354,069"
29,"$30,695,227","PG-13,2000-11-03",The Legend of Bagger Vance,"6.7 based on 47,231 user ratings","$80,000,000",Robert Redford,126M,"Will Smith,Matt Damon,Charlize Theron","         $11,516,712        

      (USA)
      ",2000,"Drama,Fantasy,Sport",6.7,"47,231"," $11,516,712"
30,"$33,472,850","R,2008-02-29",Semi-Pro,"5.8 based on 69,215 user ratings","$55,000,000",Kent Alterman,91M,"Will Ferrell,Woody Harrelson,André Benjamin","         £774,698        

      (UK)
      ",2008,"Comedy,Sport",5.8,"69,215"," £774,698"
31,"$15,045,676","PG-13,2009-11-06",The Box,"5.6 based on 78,661 user ratings","$16,000,000",Richard Kelly,115M,"Cameron Diaz,James Marsden,Frank Langella","         $7,571,417        

      (USA)
      ",2009,"Drama,Fantasy,Mystery",5.6,"78,661"," $7,571,417"
32,"$137,850,096","PG,2009-11-06",A Christmas Carol,"6.8 based on 79,017 user ratings","$200,000,000",Robert Zemeckis,96M,"Jim Carrey,Gary Oldman,Colin Firth","         £1,917,539        

      (UK)
      ",2009,"Animation,Drama,Family",6.8,"79,017"," £1,917,539"
33,"$15,081,783","G,2009-08-14",Ponyo,"7.7 based on 91,483 user ratings","$34,000,000",Hayao Miyazaki,101M,"Cate Blanchett,Matt Damon,Liam Neeson","         $3,585,852        

      (USA)
      ",2008,"Animation,Adventure,Comedy",7.7,"91,483"," $3,585,852"
34,"$7,159,147","R,2008-01-11",The Orphanage,"7.5 based on 125,380 user ratings","€3,400,000",J.A. Bayona,105M,"Belén Rueda,Fernando Cayo,Roger Príncep","         $338,024        

      (USA)
      ",2007,"Drama,Mystery,Thriller",7.5,"125,380"," $338,024"
35,"$51,527,787","R,2009-01-16",My Bloody Valentine,"5.5 based on 47,050 user ratings","$15,000,000",Patrick Lussier,101M,"Jensen Ackles,Jaime King,Kerr Smith","         £1,337,613        

      (UK)
      ",2009,"Horror,Thriller",5.5,"47,050"," £1,337,613"
37,"$14,793,904","PG-13,2009-07-10","I Love You, Beth Cooper","5.3 based on 29,282 user ratings","$18,000,000",Chris Columbus,102M,"Hayden Panettiere,Paul Rust,Jack Carpenter","         $4,919,433        

      (USA)
      ",2009,"Comedy,Romance",5.3,"29,282"," $4,919,433"
38,"$17,231,291","PG-13,2009-02-20",Fired Up!,"6.2 based on 38,181 user ratings","$20,000,000",Will Gluck,90M,"Eric Christian Olsen,Nicholas D'Agosto,Sarah Roemer","         $5,483,778        

      (USA)
      ",2009,Comedy,6.2,"38,181"," $5,483,778"
41,"$1,043,798","R,2010-06-03",Animal Kingdom,"7.3 based on 47,447 user ratings","AUD 5,000,000",David Michôd,113M,"James Frecheville,Guy Pearce,Joel Edgerton","         $61,968        

      (USA)
      ",2010,"Crime,Drama",7.3,"47,447"," $61,968"
43,"$57,536,361","PG-13,2000-01-07",The Cider House Rules,"7.4 based on 81,913 user ratings","$24,000,000",Lasse Hallström,126M,"Tobey Maguire,Charlize Theron,Michael Caine","         $110,098        

      (USA)
      ",1999,"Drama,Romance",7.4,"81,913"," $110,098"
44,"$66,466,372","R,2009-08-28",The Final Destination,"5.2 based on 79,199 user ratings","$40,000,000",David R. Ellis,82M,"Nick Zano,Krista Allen,Andrew Fiscella","         £3,633,395        

      (UK)
      ",2009,"Horror,Thriller",5.2,"79,199"," £3,633,395"
45,"$16,640,210","R,1999-10-22",Bringing Out the Dead,"6.8 based on 54,868 user ratings","$55,000,000",Martin Scorsese,121M,"Nicolas Cage,Patricia Arquette,John Goodman","         $6,193,052        

      (USA)
      ",1999,"Drama,Thriller",6.8,"54,868"," $6,193,052"
46,"$87,704,396","PG-13,1999-04-30",Entrapment,"6.2 based on 91,722 user ratings","$66,000,000",Jon Amiel,113M,"Sean Connery,Catherine Zeta-Jones,Ving Rhames","         $20,145,595        

      (USA)
      ",1999,"Action,Crime,Romance",6.2,"91,722"," $20,145,595"
47,"$69,102,910","PG-13,1998-04-03",Lost in Space,"5.1 based on 60,436 user ratings","$80,000,000",Stephen Hopkins,130M,"Gary Oldman,William Hurt,Matt LeBlanc","         $20,154,919        

      (USA)
      ",1998,"Action,Adventure,Family",5.1,"60,436"," $20,154,919"
48,"$78,745,923","PG-13,1998-04-10",City of Angels,"6.7 based on 98,070 user ratings","$55,000,000",Brad Silberling,114M,"Nicolas Cage,Meg Ryan,Andre Braugher","         $15,369,048        

      (USA)
      ",1998,"Drama,Fantasy,Romance",6.7,"98,070"," $15,369,048"
49,"$55,469,238","PG-13,1999-04-09",Never Been Kissed,"6.0 based on 70,876 user ratings","$25,000,000",Raja Gosnell,107M,"Drew Barrymore,David Arquette,Michael Vartan","         $11,836,707        

      (USA)
      ",1999,"Comedy,Drama,Romance",6.0,"70,876"," $11,836,707"
51,"$30,672,357","PG,1997-12-12",Home Alone 3,"4.3 based on 81,222 user ratings","$32,000,000",Raja Gosnell,102M,"Alex D. Linz,Olek Krupa,Rya Kihlstedt","         $5,085,482        

      (USA)
      ",1997,"Comedy,Crime,Family",4.3,"81,222"," $5,085,482"
52,"$61,355,436","PG-13,1997-04-04",The Saint,"6.2 based on 53,649 user ratings","$68,000,000",Phillip Noyce,116M,"Val Kilmer,Elisabeth Shue,Rade Serbedzija","         $16,278,873        

      (USA)
      ",1997,"Action,Adventure,Romance",6.2,"53,649"," $16,278,873"
53,"$35,927,406","PG-13,1997-11-21",Mortal Kombat: Annihilation,"3.7 based on 38,026 user ratings","$30,000,000",John R. Leonetti,95M,"Robin Shou,Talisa Soto,James Remar","         $16,771,694        

      (USA)
      ",1997,"Action,Adventure,Fantasy",3.7,"38,026"," $16,771,694"
55,"$65,557,989","PG-13,1997-04-11",Anaconda,"4.7 based on 77,554 user ratings","$45,000,000",Luis Llosa,89M,"Jon Voight,Jennifer Lopez,Eric Stoltz","         $16,620,887        

      (USA)
      ",1997,"Action,Adventure,Horror",4.7,"77,554"," $16,620,887"
56,"$25,809,813","PG,1996-10-04",That Thing You Do!,"6.9 based on 52,444 user ratings","$26,000,000",Tom Hanks,108M,"Tom Hanks,Liv Tyler,Charlize Theron","         $6,208,595        

      (USA)
      ",1996,"Comedy,Drama,Music",6.9,"52,444"," $6,208,595"
58,"$24,881,000","R,1996-05-03",The Craft,"6.3 based on 60,325 user ratings","$15,000,000",Andrew Fleming,101M,"Robin Tunney,Fairuza Balk,Neve Campbell","         $210,549        

      (USA)
      ",1996,"Drama,Fantasy,Horror",6.3,"60,325"," $210,549"
65,"$68,856,263","PG,1993-10-01",Cool Runnings,"6.9 based on 73,591 user ratings","$15,000,000",Jon Turteltaub,98M,"John Candy,Leon,Doug E. Doug","         £2,503,138        

      (UK)
      ",1993,"Adventure,Comedy,Family",6.9,"73,591"," £2,503,138"
71,"$34,014,398","R,2006-08-18",Snakes on a Plane,"5.6 based on 118,684 user ratings","$33,000,000",David R. Ellis,105M,"Samuel L. Jackson,Julianna Margulies,Nathan Phillips","         £1,069,608        

      (UK)
      ",2006,"Action,Adventure,Crime",5.6,"118,684"," £1,069,608"
72,"$66,488,090","R,1999-11-05",The Bone Collector,"6.7 based on 126,529 user ratings","$73,000,000",Phillip Noyce,118M,"Denzel Washington,Angelina Jolie,Queen Latifah","         $16,712,020        

      (USA)
      ",1999,"Crime,Drama,Mystery",6.7,"126,529"," $16,712,020"
75,"$13,838,130","PG-13,2009-10-23",Cirque du Freak: The Vampire's Assistant,"5.9 based on 37,249 user ratings","$40,000,000",Paul Weitz,109M,"Chris Massoglia,John C. Reilly,Salma Hayek","         £798,641        

      (UK)
      ",2009,"Action,Adventure,Fantasy",5.9,"37,249"," £798,641"
77,"$19,548,064","PG,2009-10-23",Astro Boy,"6.3 based on 27,112 user ratings","$65,000,000",David Bowers,94M,"Freddie Highmore,Nicolas Cage,Kristen Bell","         $6,702,923        

      (USA)
      ",2009,"Animation,Action,Comedy",6.3,"27,112"," $6,702,923"
80,"$29,580,087","PG-13,2009-12-18",Did You Hear About the Morgans?,"4.8 based on 30,827 user ratings","$58,000,000",Marc Lawrence,103M,"Hugh Grant,Sarah Jessica Parker,Sam Elliott","         $6,616,571        

      (USA)
      ",2009,"Comedy,Drama,Romance",4.8,"30,827"," $6,616,571"
81,"$39,462,438","R,2010-02-05",Crazy Heart,"7.3 based on 71,422 user ratings","$7,000,000",Scott Cooper,112M,"Jeff Bridges,Maggie Gyllenhaal,Colin Farrell","         $82,664        

      (USA)
      ",2009,"Drama,Music,Romance",7.3,"71,422"," $82,664"
83,"$38,536,376","PG,2011-08-19",Spy Kids: All the Time in the World in 4D,"3.6 based on 16,790 user ratings","$27,000,000",Robert Rodriguez,89M,"Jessica Alba,Jeremy Piven,Joel McHale","         $11,644,672        

      (USA)
      ",2011,"Action,Adventure,Comedy",3.6,"16,790"," $11,644,672"
84,"$34,522,221","PG-13,2011-09-30",Courageous,"7.0 based on 16,116 user ratings","$2,000,000",Alex Kendrick,129M,"Alex Kendrick,Ken Bevel,Kevin Downes","         $9,063,147        

      (USA)
      ",2011,Drama,7.0,"16,116"," $9,063,147"
85,"$26,687,172","G,2011-07-15",Winnie the Pooh,"7.2 based on 16,489 user ratings","$30,000,000",Stephen J. Anderson,63M,"Jim Cummings,Craig Ferguson,John Cleese","         £159,369        

      (UK)
      ",2011,"Animation,Adventure,Comedy",7.2,"16,489"," £159,369"
86,"$12,555,230","R,2012-03-09",Silent House,"5.3 based on 19,202 user ratings","$2,000,000",Chris Kentis,86M,"Elizabeth Olsen,Adam Trese,Eric Sheffer Stevens","         $6,661,234        

      (USA)
      ",2011,"Drama,Horror,Mystery",5.3,"19,202"," $6,661,234"
87,"$6,851,969","R,2013-09-13",The Spectacular Now,"7.1 based on 115,221 user ratings","$2,500,000",James Ponsoldt,95M,"Miles Teller,Shailene Woodley,Kyle Chandler","         $197,415        

      (USA)
      ",2013,"Comedy,Drama,Romance",7.1,"115,221"," $197,415"
88,"$37,911,876","PG-13,2011-02-18","Big Mommas: Like Father, Like Son","4.4 based on 20,818 user ratings","$32,000,000",John Whitesell,107M,"Martin Lawrence,Brandon T. Jackson,Jessica Lucas","         £1,433,778        

      (UK)
      ",2011,"Action,Comedy,Crime",4.4,"20,818"," £1,433,778"
89,"$5,664,251","R,2010-12-03",The Warrior's Way,"6.3 based on 22,905 user ratings","$45,000,000",Sngmoo Lee,100M,"Dong-gun Jang,Kate Bosworth,Geoffrey Rush","         £105,389        

      (UK)
      ",2010,"Action,Fantasy,Western",6.3,"22,905"," £105,389"
90,"$36,658,108","PG-13,2010-08-18",Vampires Suck,"3.5 based on 40,396 user ratings","$20,000,000",Jason Friedberg,82M,"Jenn Proske,Matt Lanter,Diedrich Bader","         $12,202,831        

      (USA)
      ",2010,Comedy,3.5,"40,396"," $12,202,831"
91,"$60,013,411","PG,2010-01-22",Tooth Fairy,"5.0 based on 32,308 user ratings","$48,000,000",Michael Lembeck,101M,"Dwayne Johnson,Ashley Judd,Julie Andrews","         $14,010,409        

      (USA)
      ",2010,"Comedy,Family,Fantasy",5.0,"32,308"," $14,010,409"
92,"$24,268,828","PG,2010-01-15",The Spy Next Door,"5.4 based on 32,070 user ratings","$28,000,000",Brian Levant,94M,"Jackie Chan,Amber Valletta,Billy Ray Cyrus","         $12,877,043        

      (USA)
      ",2010,"Action,Comedy,Family",5.4,"32,070"," $12,877,043"
93,"$10,106,233","PG,2011-04-29",Prom,"5.4 based on 13,208 user ratings","$8,000,000",Joe Nussbaum,104M,"Aimee Teegarden,Thomas McDonell,DeVaughn Nixon","         $4,712,638        

      (USA)
      ",2011,"Comedy,Drama",5.4,"13,208"," $4,712,638"
94,"$20,819,129","PG,2009-01-16",Paul Blart: Mall Cop,"5.2 based on 87,597 user ratings","$26,000,000",Steve Carr,91M,"Kevin James,Keir O'Donnell,Jayma Mays","         $31,832,636        

      (USA)
      ",2009,"Action,Comedy,Crime",5.2,"87,597"," $31,832,636"
95,"$23,993,605","R,2009-04-10",Observe and Report,"5.8 based on 53,794 user ratings","$18,000,000",Jody Hill,86M,"Seth Rogen,Anna Faris,Ray Liotta","         $11,017,334        

      (USA)
      ",2009,"Comedy,Crime,Drama",5.8,"53,794"," $11,017,334"
96,"$33,313,582","R,2009-09-18",The Informant!,"6.5 based on 54,543 user ratings","$22,000,000",Steven Soderbergh,108M,"Matt Damon,Tony Hale,Patton Oswalt","         $10,464,314        

      (USA)
      ",2009,"Comedy,Crime,Drama",6.5,"54,543"," $10,464,314"
97,"$10,814,185","R,2009-09-04",Extract,"6.2 based on 38,958 user ratings","$8,000,000",Mike Judge,92M,"Jason Bateman,Kristen Wiig,Ben Affleck","         $5,513,634        

      (USA)
      ",2009,"Comedy,Crime,Romance",6.2,"38,958"," $5,513,634"
98,"$68,261,644","PG-13,2009-04-24",Obsessed,"4.9 based on 23,755 user ratings","$20,000,000",Steve Shill,108M,"Beyoncé Knowles,Idris Elba,Ali Larter","         $28,612,730        

      (USA)
      ",2009,"Drama,Romance,Thriller",4.9,"23,755"," $28,612,730"
99,"$79,566,871","G,2009-04-10",Hannah Montana: The Movie,"4.2 based on 33,334 user ratings","$30,000,000",Peter Chelsom,102M,"Miley Cyrus,Emily Osment,Billy Ray Cyrus","         $32,324,487        

      (USA)
      ",2009,"Comedy,Drama,Family",4.2,"33,334"," $32,324,487"
100,"$33,386,128","R,2009-08-28",Halloween II,"4.9 based on 38,355 user ratings","$15,000,000",Rob Zombie,105M,"Scout Taylor-Compton,Tyler Mane,Malcolm McDowell","         $16,349,565        

      (USA)
      ",2009,Horror,4.9,"38,355"," $16,349,565"
101,"$50,818,750","G,2008-12-19",The Tale of Despereaux,"6.1 based on 32,082 user ratings","$60,000,000",Sam Fell,93M,"Matthew Broderick,Emma Watson,Dustin Hoffman","         £560,870        

      (UK)
      ",2008,"Animation,Adventure,Comedy",6.1,"32,082"," £560,870"
102,"$17,427,926","R,2008-04-04",The Ruins,"5.9 based on 61,686 user ratings","$8,000,000",Carter Smith,90M,"Shawn Ashmore,Jena Malone,Jonathan Tucker","         $8,003,241        

      (USA)
      ",2008,Horror,5.9,"61,686"," $8,003,241"
103,"$49,474,048","PG,2009-11-25",Old Dogs,"5.4 based on 32,169 user ratings","$35,000,000",Walt Becker,88M,"Robin Williams,John Travolta,Seth Green","         $16,894,511        

      (USA)
      ",2009,"Comedy,Family",5.4,"32,169"," $16,894,511"
104,"$2,775,593","R,2008-10-03",How to Lose Friends & Alienate People,"6.5 based on 62,565 user ratings","$27,000,000",Robert B. Weide,110M,"Simon Pegg,Kirsten Dunst,Megan Fox","         £1,154,607        

      (UK)
      ",2008,"Biography,Comedy,Drama",6.5,"62,565"," £1,154,607"
105,"$40,076,438","R,2008-09-12",Righteous Kill,"6.0 based on 75,449 user ratings","$60,000,000",Jon Avnet,101M,"Robert De Niro,Al Pacino,Carla Gugino","         $16,288,361        

      (USA)
      ",2008,"Action,Crime,Drama",6.0,"75,449"," $16,288,361"
106,"$37,766,350","PG-13,2008-10-17",The Secret Life of Bees,"7.3 based on 20,509 user ratings","$11,000,000",Gina Prince-Bythewood,114M,"Dakota Fanning,Jennifer Hudson,Queen Latifah","         $10,527,799        

      (USA)
      ",2008,Drama,7.3,"20,509"," $10,527,799"
107,"$90,556,401","G,2008-10-24",High School Musical 3: Senior Year,"4.5 based on 46,203 user ratings","$11,000,000",Kenny Ortega,112M,"Zac Efron,Vanessa Hudgens,Ashley Tisdale","         $42,030,184        

      (USA)
      ",2008,"Comedy,Drama,Family",4.5,"46,203"," $42,030,184"
108,"$19,528,188","PG,2008-09-19",Igor,"6.0 based on 20,156 user ratings","$25,000,000",Tony Leondis,87M,"John Cusack,Molly Shannon,Steve Buscemi","         $7,803,347        

      (USA)
      ",2008,"Animation,Comedy,Family",6.0,"20,156"," $7,803,347"
109,"$20,207,003","R,2008-10-03",Appaloosa,"6.8 based on 51,885 user ratings","$20,000,000",Ed Harris,115M,"Ed Harris,Viggo Mortensen,Renée Zellweger","         $248,847        

      (USA)
      ",2008,"Crime,Drama,Romance",6.8,"51,885"," $248,847"
110,"$3,950,294","R,2008-02-22",Charlie Bartlett,"7.0 based on 58,015 user ratings","$12,000,000",Jon Poll,97M,"Anton Yelchin,Robert Downey Jr.,Hope Davis","         $1,836,256        

      (USA)
      ",2007,"Comedy,Drama,Romance",7.0,"58,015"," $1,836,256"
111,"$31,691,811","R,2008-10-10",Quarantine,"6.0 based on 59,685 user ratings","$12,000,000",John Erick Dowdle,89M,"Jennifer Carpenter,Steve Harris,Columbus Short","         $14,211,321        

      (USA)
      ",2008,"Horror,Sci-Fi,Thriller",6.0,"59,685"," $14,211,321"
112,"$19,151,864","R,2008-09-19",My Best Friend's Girl,"5.9 based on 38,260 user ratings","$40,000,000",Howard Deutch,101M,"Kate Hudson,Dane Cook,Jason Biggs","         $8,265,357        

      (USA)
      ",2008,"Comedy,Romance",5.9,"38,260"," $8,265,357"
113,"$38,232,624","PG-13,2008-01-25",Meet the Spartans,"2.7 based on 91,414 user ratings","$30,000,000",Jason Friedberg,86M,"Sean Maguire,Kevin Sorbo,Carmen Electra","         $18,505,530        

      (USA)
      ",2008,Comedy,2.7,"91,414"," $18,505,530"
114,"$9,664,316","R,2007-10-19",Rendition,"6.8 based on 48,864 user ratings","$27,500,000",Gavin Hood,122M,"Reese Witherspoon,Jake Gyllenhaal,Peter Sarsgaard","         £583,345        

      (UK)
      ",2007,"Drama,Thriller",6.8,"48,864"," £583,345"
115,"$63,270,259","R,2007-10-26",Saw IV,"5.9 based on 116,271 user ratings","$10,000,000",Darren Lynn Bousman,93M,"Tobin Bell,Scott Patterson,Costas Mandylor","         £2,482,889        

      (UK)
      ",2007,"Horror,Mystery",5.9,"116,271"," £2,482,889"
116,"$43,097,652","PG,2007-07-27",No Reservations,"6.3 based on 61,303 user ratings","$28,000,000",Scott Hicks,104M,"Catherine Zeta-Jones,Aaron Eckhart,Abigail Breslin","         $11,704,357        

      (USA)
      ",2007,"Comedy,Drama,Romance",6.3,"61,303"," $11,704,357"
117,"$47,852,604","PG-13,2007-03-16",Premonition,"5.9 based on 64,332 user ratings","$20,000,000",Mennan Yapo,96M,"Sandra Bullock,Julian McMahon,Amber Valletta","         £1,021,882        

      (UK)
      ",2007,"Drama,Mystery,Thriller",5.9,"64,332"," £1,021,882"
118,"$4,587,858","R,2007-03-30",The Lookout,"7.1 based on 52,137 user ratings","$16,000,000",Scott Frank,99M,"Joseph Gordon-Levitt,Jeff Daniels,Matthew Goode","         $2,017,795        

      (USA)
      ",2007,"Crime,Drama,Thriller",7.1,"52,137"," $2,017,795"
120,"$17,544,812","R,2007-06-08",Hostel: Part II,"5.4 based on 72,932 user ratings","$10,000,000",Eli Roth,94M,"Lauren German,Heather Matarazzo,Bijou Phillips","         $8,203,391        

      (USA)
      ",2007,Horror,5.4,"72,932"," $8,203,391"
121,"$32,553,210","PG,2007-08-24",Mr. Bean's Holiday,"6.3 based on 93,909 user ratings","$25,000,000",Steve Bendelack,90M,"Rowan Atkinson,Willem Dafoe,Steve Pemberton","         £6,440,093        

      (UK)
      ",2007,"Comedy,Family",6.3,"93,909"," £6,440,093"
122,"$20,801,344","R,2007-03-23",The Hills Have Eyes II,"5.1 based on 51,880 user ratings","$15,000,000",Martin Weisz,89M,"Daniella Alonso,Jacob Vargas,Michael Bailey Smith","         $9,686,362        

      (USA)
      ",2007,"Action,Horror,Thriller",5.1,"51,880"," $9,686,362"
124,"$16,545,445","R,2007-03-16",Dead Silence,"6.2 based on 70,134 user ratings","$20,000,000",James Wan,89M,"Ryan Kwanten,Amber Valletta,Donnie Wahlberg","         $7,842,725        

      (USA)
      ",2007,"Horror,Thriller",6.2,"70,134"," $7,842,725"
127,"$14,373,825","R,2007-11-30",Awake,"6.5 based on 65,187 user ratings","$8,600,000",Joby Harold,84M,"Hayden Christensen,Jessica Alba,Terrence Howard","         $5,856,872        

      (USA)
      ",2007,"Crime,Mystery,Thriller",6.5,"65,187"," $5,856,872"
128,"$71,402,035","PG,2006-04-28",RV,"5.5 based on 47,967 user ratings","$65,000,000",Barry Sonnenfeld,99M,"Robin Williams,Cheryl Hines,Kristin Chenoweth","         $16,414,767        

      (USA)
      ",2006,"Adventure,Comedy,Family",5.5,"47,967"," $16,414,767"
129,"$9,525,276","R,2007-08-31",Death Sentence,"6.8 based on 61,776 user ratings","$20,000,000",James Wan,105M,"Kevin Bacon,John Goodman,Kelly Preston","         £260,733        

      (UK)
      ",2007,"Action,Crime,Thriller",6.8,"61,776"," £260,733"
130,"$43,532,294","PG,2006-12-22",We Are Marshall,"7.1 based on 49,117 user ratings","$65,000,000",McG,131M,"Matthew McConaughey,Matthew Fox,Anthony Mackie","         $8,582,508        

      (USA)
      ",2006,"Drama,Sport",7.1,"49,117"," $8,582,508"
131,"$57,651,794","PG-13,2006-04-07",The Benchwarmers,"5.6 based on 42,111 user ratings","$33,000,000",Dennis Dugan,80M,"David Spade,Jon Heder,Rob Schneider","         $19,656,429        

      (USA)
      ",2006,"Comedy,Sport",5.6,"42,111"," $19,656,429"
132,"$3,626,883","R,2005-10-21",Stay,"6.9 based on 63,914 user ratings","$50,000,000",Marc Forster,99M,"Ewan McGregor,Naomi Watts,Ryan Gosling","         $2,188,199        

      (USA)
      ",2005,"Drama,Mystery,Thriller",6.9,"63,914"," $2,188,199"
