,gross,date_c,name,rate,budget,Director,length,actors,open_week,year,genre,rating,audience,First_Week
1945,"$36,497","R,2008-09-05","Surfer, Dude","4.7 based on 7,579 user ratings","$6,000,000",S.R. Bindler,85M,"Matthew McConaughey,Woody Harrelson,Willie Nelson","         $5,971        

      (USA)
      ",2008,Comedy,4.7,"7,579"," $5,971"
1949,"$8,530",2009-01-23,Mammoth,"6.9 based on 8,689 user ratings","$10,000,000",Lukas Moodysson,125M,"Gael García Bernal,Michelle Williams,Marife Necesito","         $4,531        

      (USA)
      ",2009,"Drama,Romance",6.9,"8,689"," $4,531"
1953,"$32,409","PG-13,2009-07-10",Beyond a Reasonable Doubt,"5.9 based on 10,928 user ratings","$25,000,000",Peter Hyams,106M,"Jesse Metcalfe,Amber Tamblyn,Michael Douglas","         $17,164        

      (USA)
      ",2009,"Crime,Drama,Mystery",5.9,"10,928"," $17,164"
1954,"$46,451","R,2010-03-26",Ca$h,"6.0 based on 7,921 user ratings","$7,000,000",Stephen Milburn Anderson,108M,"Sean Bean,Chris Hemsworth,Victoria Profeta","         $16,469        

      (USA)
      ",2010,"Comedy,Crime,Thriller",6.0,"7,921"," $16,469"
1963,"$3,030","R,2010-10-22",Inhale,"6.6 based on 5,649 user ratings","$10,000,000",Baltasar Kormákur,83M,"Dermot Mulroney,Diane Kruger,Sam Shepard","         $3,030        

      (USA)
      ",2010,"Drama,Thriller",6.6,"5,649"," $3,030"
1964,"$381,186","R,2006-08-25",The Quiet,"6.4 based on 13,785 user ratings","$900,000",Jamie Babbit,96M,"Camilla Belle,Elisha Cuthbert,Edie Falco","         $27,546        

      (USA)
      ",2005,"Crime,Drama,Thriller",6.4,"13,785"," $27,546"
1965,"$15,830,046","PG-13,2007-05-25",Away from Her,"7.6 based on 19,410 user ratings","CAD 4,000,000",Sarah Polley,110M,"Julie Christie,Michael Murphy,Gordon Pinsent","         $53,267        

      (USA)
      ",2006,Drama,7.6,"19,410"," $53,267"
1978,"$101,440","R,2008-06-19",Reservation Road,"6.7 based on 19,359 user ratings","$11,000,000",Terry George,102M,"Joaquin Phoenix,Mark Ruffalo,Jennifer Connelly","         $36,269        

      (USA)
      ",2007,"Crime,Drama,Thriller",6.7,"19,359"," $36,269"
1979,"$100,503","R,2010-02-19",The Good Guy,"5.9 based on 8,135 user ratings","$8,000,000",Julio DePietro,90M,"Alexis Bledel,Scott Porter,Bryan Greenberg","         $34,712        

      (USA)
      ",2009,"Comedy,Romance",5.9,"8,135"," $34,712"
1982,"$58,918,501","R,1996-07-12",Courage Under Fire,"6.6 based on 42,142 user ratings","$46,000,000",Edward Zwick,116M,"Denzel Washington,Meg Ryan,Lou Diamond Phillips","         $12,501,000        

      (USA)
      ",1996,"Action,Drama,Mystery",6.6,"42,142"," $12,501,000"
1989,"$82,528,097","PG,1996-01-19",Mr. Holland's Opus,"7.3 based on 31,102 user ratings","$23,000,000",Stephen Herek,143M,"Richard Dreyfuss,Glenne Headly,Jay Thomas","         $92,254        

      (USA)
      ",1995,"Drama,Music",7.3,"31,102"," $92,254"
1995,"$63,095,271","R,1993-07-30",Rising Sun,"6.2 based on 36,269 user ratings","$35,000,000",Philip Kaufman,129M,"Sean Connery,Wesley Snipes,Harvey Keitel","         £648,293        

      (UK)
      ",1993,"Action,Crime,Drama",6.2,"36,269"," £648,293"
1997,"$36,763,355","PG-13,1994-11-23",Junior,"4.5 based on 55,793 user ratings","$60,000,000",Ivan Reitman,109M,"Arnold Schwarzenegger,Danny DeVito,Emma Thompson","         £823,922        

      (UK)
      ",1994,"Comedy,Romance,Sci-Fi",4.5,"55,793"," £823,922"
2027,"$16,088,610","PG,2009-06-12",Imagine That,"5.6 based on 10,972 user ratings","$55,000,000",Karey Kirkpatrick,107M,"Eddie Murphy,Thomas Haden Church,Yara Shahidi","         $5,503,519        

      (USA)
      ",2009,"Comedy,Drama,Family",5.6,"10,972"," $5,503,519"
2028,"$2,849,142","R,2007-10-19",Things We Lost in the Fire,"7.2 based on 24,985 user ratings","$16,000,000",Susanne Bier,118M,"Halle Berry,Benicio Del Toro,Alison Lohman","         $1,561,949        

      (USA)
      ",2007,Drama,7.2,"24,985"," $1,561,949"
2031,"$16,284,360","PG-13,2008-08-01",Swing Vote,"6.1 based on 15,515 user ratings","$21,000,000",Joshua Michael Stern,120M,"Kevin Costner,Paula Patton,Kelsey Grammer","         $6,230,669        

      (USA)
      ",2008,"Comedy,Drama",6.1,"15,515"," $6,230,669"
2032,"$25,769,067","PG-13,2007-09-14",Mr. Woodcock,"5.1 based on 31,813 user ratings","$22,000,000",Craig Gillespie,87M,"Billy Bob Thornton,Seann William Scott,Susan Sarandon","         $8,761,369        

      (USA)
      ",2007,"Comedy,Romance,Sport",5.1,"31,813"," $8,761,369"
2033,"$31,339,647","PG-13,2007-02-14",Daddy's Little Girls,"5.4 based on 6,152 user ratings","$10,000,000",Tyler Perry,100M,"Gabrielle Union,Idris Elba,Tracee Ellis Ross","         $13,064,075        

      (USA)
      ",2007,"Drama,Romance",5.4,"6,152"," $13,064,075"
2034,"$49,631,958","PG,2007-04-04",Are We Done Yet?,"4.0 based on 16,302 user ratings","$28,000,000",Steve Carr,92M,"Ice Cube,Nia Long,John C. McGinley","         $14,262,724        

      (USA)
      ",2007,"Comedy,Family,Fantasy",4.0,"16,302"," $14,262,724"
2035,"$7,486,906","PG,2007-11-02",Martian Child,"6.8 based on 17,943 user ratings","$27,000,000",Menno Meyjes,106M,"John Cusack,Amanda Peet,Bobby Coleman","         $1,843,767        

      (USA)
      ",2007,"Comedy,Drama,Family",6.8,"17,943"," $1,843,767"
2038,"$3,525,161","PG-13,2007-01-26",Blood and Chocolate,"5.5 based on 15,731 user ratings","$15,000,000",Katja von Garnier,98M,"Agnes Bruckner,Hugh Dancy,Olivier Martinez","         $2,074,300        

      (USA)
      ",2007,"Drama,Fantasy,Horror",5.5,"15,731"," $2,074,300"
2040,"$61,112,916","PG,2006-03-10",The Shaggy Dog,"4.4 based on 15,467 user ratings","$50,000,000",Brian Robbins,98M,"Tim Allen,Kristin Davis,Craig Kilborn","         $16,310,058        

      (USA)
      ",2006,"Comedy,Family,Fantasy",4.4,"15,467"," $16,310,058"
2041,"$20,998,709","PG,2006-10-20",Flicka,"6.2 based on 6,345 user ratings","$15,000,000",Michael Mayer,95M,"Alison Lohman,Tim McGraw,Maria Bello","         $7,703,551        

      (USA)
      ",2006,"Adventure,Drama,Family",6.2,"6,345"," $7,703,551"
2042,"$49,186,871","PG,2005-01-14",Racing Stripes,"5.2 based on 13,192 user ratings","$30,000,000",Frederik Du Chau,102M,"Frankie Muniz,David Spade,Snoop Dogg","         $1,109,002        

      (Australia)
      ",2005,"Adventure,Comedy,Drama",5.2,"13,192"," $1,109,002"
2045,"$3,205,244","PG-13,2011-02-04",Another Year,"7.3 based on 24,431 user ratings","£10,000,000",Mike Leigh,129M,"Jim Broadbent,Ruth Sheen,Lesley Manville","         £355,626        

      (UK)
      ",2010,"Comedy,Drama",7.3,"24,431"," £355,626"
2050,"$13,362,308","PG-13,2014-01-31",Labor Day,"6.9 based on 33,985 user ratings","$18,000,000",Jason Reitman,111M,"Kate Winslet,Josh Brolin,Gattlin Griffith","         $5,175,282        

      (USA)
      ",2013,"Drama,Romance",6.9,"33,985"," $5,175,282"
2052,"$1,183,354","PG-13,2011-04-29",Dylan Dog: Dead of Night,"5.1 based on 13,392 user ratings","$20,000,000",Kevin Munroe,107M,"Brandon Routh,Anita Briem,Sam Huntington","         $754,779        

      (USA)
      ",2010,"Action,Comedy,Crime",5.1,"13,392"," $754,779"
2054,"$10,572,742","PG-13,2009-01-09",Not Easily Broken,"6.1 based on 2,409 user ratings","$8,000,000",Bill Duke,99M,"Morris Chestnut,Taraji P. Henson,Maeve Quinlan","         $5,314,278        

      (USA)
      ",2009,"Drama,Romance",6.1,"2,409"," $5,314,278"
2056,"$16,699,684","PG,2009-01-30",New in Town,"5.6 based on 18,221 user ratings","$8,000,000",Jonas Elmer,97M,"Renée Zellweger,Harry Connick Jr.,Siobhan Fallon Hogan","         $6,741,530        

      (USA)
      ",2009,"Comedy,Romance",5.6,"18,221"," $6,741,530"
2057,"$15,000,994","PG,2011-06-10",Judy Moody and the Not Bummer Summer,"4.2 based on 2,443 user ratings","$20,000,000",John Schultz,91M,"Jordana Beatty,Heather Graham,Parris Mosteller","         $6,076,859        

      (USA)
      ",2011,"Comedy,Family",4.2,"2,443"," $6,076,859"
2058,"$2,151,202","PG-13,2013-09-27",Austenland,"6.3 based on 15,903 user ratings","£4,900,000",Jerusha Hess,97M,"Keri Russell,JJ Feild,Jennifer Coolidge","         $40,662        

      (USA)
      ",2013,"Comedy,Romance",6.3,"15,903"," $40,662"
2059,"$25,615,792","PG-13,2009-05-22",Dance Flick,"3.5 based on 10,365 user ratings","$25,000,000",Damien Dante Wayans,83M,"Marlon Wayans,Shawn Wayans,Shoshana Bush","         $12,622,450        

      (USA)
      ",2009,"Action,Comedy,Music",3.5,"10,365"," $12,622,450"
2060,"$17,655,201","G,2008-07-02",Kit Kittredge: An American Girl,"6.6 based on 4,895 user ratings","$10,000,000",Patricia Rozema,101M,"Abigail Breslin,Stanley Tucci,Joan Cusack","         $220,297        

      (USA)
      ",2008,"Drama,Family",6.6,"4,895"," $220,297"
2097,"$2,963,012","R,2014-10-31",Before I Go to Sleep,"6.3 based on 54,258 user ratings","$22,000,000",Rowan Joffe,92M,"Nicole Kidman,Colin Firth,Mark Strong","         $1,843,347        

      (USA)
      ",2014,"Drama,Mystery,Thriller",6.3,"54,258"," $1,843,347"
2103,"$31,179,516","PG-13,2004-04-07",Johnson Family Vacation,"4.3 based on 6,158 user ratings","$12,000,000",Christopher Erskin,97M,"Cedric the Entertainer,Shannon Elizabeth,Shad Moss","         $9,375,307        

      (USA)
      ",2004,Comedy,4.3,"6,158"," $9,375,307"
2106,"$22,160,085","PG-13,2004-12-25",Darkness,"5.4 based on 17,160 user ratings","$10,600,000",Jaume Balagueró,88M,"Anna Paquin,Lena Olin,Iain Glen","         $1,141,223        

      (Spain)
      ",2002,Horror,5.4,"17,160"," $1,141,223"
2107,"$15,589,458","PG-13,2003-03-21",View from the Top,"5.2 based on 21,959 user ratings","$30,000,000",Bruno Barreto,87M,"Gwyneth Paltrow,Christina Applegate,Kelly Preston","         $7,009,513        

      (USA)
      ",2003,"Comedy,Romance",5.2,"21,959"," $7,009,513"
2108,"$15,712,072","PG-13,2004-09-03",Paparazzi,"5.8 based on 13,458 user ratings","$20,000,000",Paul Abascal,84M,"Cole Hauser,Robin Tunney,Dennis Farina","         $7,855,111        

      (USA)
      ",2004,"Action,Crime,Drama",5.8,"13,458"," $7,855,111"
2109,"$7,659,747","R,2003-09-05",The Order,"5.2 based on 15,368 user ratings","$38,000,000",Brian Helgeland,102M,"Heath Ledger,Mark Addy,Shannyn Sossamon","         $4,438,899        

      (USA)
      ",2003,"Horror,Mystery,Thriller",5.2,"15,368"," $4,438,899"
2110,"$26,900,336","R,2003-11-26",The Missing,"6.5 based on 28,612 user ratings","$60,000,000",Ron Howard,137M,"Tommy Lee Jones,Cate Blanchett,Evan Rachel Wood","         $10,833,633        

      (USA)
      ",2003,"Adventure,Thriller,Western",6.5,"28,612"," $10,833,633"
2111,"$34,308,901","PG-13,2003-04-18",Malibu's Most Wanted,"5.1 based on 16,362 user ratings","$16,000,000",John Whitesell,86M,"Jamie Kennedy,Ryan O'Neal,Blair Underwood","         $12,618,159        

      (USA)
      ",2003,"Comedy,Crime",5.1,"16,362"," $12,618,159"
2112,"$9,652,000","PG-13,2003-09-26",Duplex,"5.9 based on 48,008 user ratings","$40,000,000",Danny DeVito,89M,"Ben Stiller,Drew Barrymore,Eileen Essell","         $4,617,128        

      (USA)
      ",2003,Comedy,5.9,"48,008"," $4,617,128"
2113,"$26,096,584","PG-13,2003-06-13",Dumb and Dumberer: When Harry Met Lloyd,"3.4 based on 31,589 user ratings","$19,000,000",Troy Miller,85M,"Derek Richardson,Eric Christian Olsen,Eugene Levy","         £673,202        

      (UK)
      ",2003,Comedy,3.4,"31,589"," £673,202"
2114,"$22,108,977","PG-13,2003-08-22",The Medallion,"5.2 based on 31,728 user ratings","$41,000,000",Gordon Chan,88M,"Jackie Chan,Lee Evans,Claire Forlani","         $406,318        

      (Hong Kong)
      ",2003,"Action,Comedy,Fantasy",5.2,"31,728"," $406,318"
2115,"$17,266,505","PG-13,2002-07-17",Eight Legged Freaks,"5.4 based on 45,429 user ratings","$30,000,000",Ellory Elkayem,99M,"David Arquette,Kari Wuhrer,Scott Terra","         $6,485,458        

      (USA)
      ",2002,"Action,Comedy,Horror",5.4,"45,429"," $6,485,458"
2116,"$19,719,930","R,2001-01-19",The Pledge,"6.8 based on 44,333 user ratings","$35,000,000",Sean Penn,124M,"Jack Nicholson,Benicio Del Toro,Patricia Clarkson","         $5,765,347        

      (USA)
      ",2001,"Crime,Drama,Mystery",6.8,"44,333"," $5,765,347"
2117,"$80,920,948","G,2001-12-21",Jimmy Neutron: Boy Genius,"6.0 based on 25,194 user ratings","$30,000,000",John A. Davis,82M,"Debi Derryberry,Rob Paulsen,Megan Cavanagh","         $18,554,948        

      (USA)
      ",2001,"Animation,Action,Adventure",6.0,"25,194"," $18,554,948"
2119,"$10,103,647","PG-13,2002-08-30",Possession,"6.4 based on 11,856 user ratings","$25,000,000",Neil LaBute,102M,"Gwyneth Paltrow,Aaron Eckhart,Jeremy Northam","         $1,575,214        

      (USA)
      ",2002,"Drama,Mystery,Romance",6.4,"11,856"," $1,575,214"
2120,"$15,738,632","R,2001-02-23",3000 Miles to Graceland,"5.9 based on 38,967 user ratings","$62,000,000",Demian Lichtenstein,125M,"Kurt Russell,Kevin Costner,Courteney Cox","         $7,160,521        

      (USA)
      ",2001,"Action,Comedy,Crime",5.9,"38,967"," $7,160,521"
2121,"$11,560,259","PG-13,2001-03-09",Get Over It,"5.8 based on 16,021 user ratings","$22,000,000",Tommy O'Haver,87M,"Kirsten Dunst,Ben Foster,Melissa Sagemiller","         $4,134,977        

      (USA)
      ",2001,"Comedy,Romance",5.8,"16,021"," $4,134,977"
2122,"$40,219,708","PG-13,2001-09-14",Hardball,"6.4 based on 23,515 user ratings","$32,000,000",Brian Robbins,106M,"Keanu Reeves,Diane Lane,John Hawkes","         $9,386,342        

      (USA)
      ",2001,"Drama,Sport",6.4,"23,515"," $9,386,342"
