gross,date_c,name,rate,budget,Director,length,actors,open_week,year,genre
"        $27,820,000        

      ","PG-13,1986-10-24",Soul Man,"5.1 based on 6,303 user ratings",,Steve Miner,PT104M,"C. Thomas Howell,Rae Dawn Chong,Arye Gross",,1986,"Comedy,Romance"
"        $40,500,000        

      ","R,1985-10-04",Jagged Edge,"6.5 based on 10,841 user ratings","        $15,000,000        

      ",Richard Marquand,PT108M,"Jeff Bridges,Glenn Close,Peter Coyote",,1985,"Drama,Mystery,Thriller"
,"R,1985-03-22",Porky's Revenge,"4.7 based on 6,381 user ratings","        $9,000,000        

      ",James Komack,PT92M,"Dan Monahan,Wyatt Knight,Tony Ganios",,1985,Comedy
,"PG,1984-09-21",All of Me,"6.7 based on 13,785 user ratings",,Carl Reiner,PT93M,"Steve Martin,Lily Tomlin,Victoria Tennant",,1984,"Comedy,Fantasy,Romance"
"        $26,700,000        

      ","R,1985-06-14",Prizzi's Honor,"6.8 based on 19,294 user ratings",,John Huston,PT130M,"Jack Nicholson,Kathleen Turner,Robert Loggia",,1985,"Comedy,Crime,Drama"
"        $22,812,500        

      ","R,1984-11-16",Missing in Action,"5.3 based on 11,129 user ratings","        $2,550,000        

      ",Joseph Zito,PT101M,"Chuck Norris,M. Emmet Walsh,David Tress",,1984,"Action,Adventure,Drama"
,"PG-13,1984-12-14",Runaway,"5.9 based on 9,063 user ratings",,Michael Crichton,PT99M,"Tom Selleck,Cynthia Rhodes,Gene Simmons",,1984,"Action,Crime,Sci-Fi"
"        $34,700,000        

      ","PG,1984-10-05",Places in the Heart,"7.3 based on 8,123 user ratings",,Robert Benton,PT111M,"Sally Field,Lindsay Crouse,Ed Harris",,1984,Drama
,"R,1982-09-24",Amityville II: The Possession,"5.4 based on 7,906 user ratings","        $5,000,000        

      ",Damiano Damiani,PT104M,"James Olson,Burt Young,Rutanya Alda",,1982,Horror
,"PG,1983-04-29",Something Wicked This Way Comes,"6.8 based on 6,705 user ratings","        $19,000,000        

      ",Jack Clayton,PT95M,"Jason Robards,Jonathan Pryce,Diane Ladd",,1983,"Fantasy,Mystery,Thriller"
