"region","abbreviation","population_2016"
"Alabama","AL",4863300
"Alaska","AK",741894
"Arizona","AZ",6931071
"Arkansas","AR",2988248
"California","CA",39250017
"Colorado","CO",5540545
"Connecticut","CT",3576452
"Delaware","DE",952065
"District of Columbia","DC",681170
"Florida","FL",20612439
"Georgia","GA",10310371
"Hawaii","HI",1428557
"Idaho","ID",1683140
"Illinois","IL",12801539
"Indiana","IN",6633053
"Iowa","IA",3134693
"Kansas","KS",2907289
"Kentucky","KY",4436974
"Louisiana","LA",4681666
"Maine","ME",1331479
"Montana","MT",1042520
"Nebraska","NE",1907116
"Nevada","NV",2940058
"New Hampshire","NH",1334795
"New Jersey","NJ",8944469
"New Mexico","NM",2081015
"New York","NY",19745289
"North Carolina","NC",10146788
"North Dakota","ND",757952
"Ohio","OH",11614373
"Oklahoma","OK",3923561
"Oregon","OR",4093465
"Maryland","MD",6016447
"Massachusetts","MA",6811779
"Michigan","MI",9928301
"Minnesota","MN",5519952
"Mississippi","MS",2988726
"Missouri","MO",6093000
"Pennsylvania","PA",12802503
"Rhode Island","RI",1056426
"South Carolina","SC",4961119
"South Dakota","SD",865454
"Tennessee","TN",6651194
"Texas","TX",27862596
"Utah","UT",3051217
"Vermont","VT",624594
"Virginia","VA",8411808
"Washington","WA",7288000
"West Virginia","WV",1831102
"Wisconsin","WI",5778708
"Wyoming","WY",585501
"Puerto Rico","PR",3411307
