,nominal_index,nominal_qoq,real_index,price_sq_existing,price_sq_existing_index,price_sq_new,price_sq_new_index
30.09.2011,1,0,1,47133,1,42904,1
31.12.2011,1.023572419,0.023572419,1.015483694,48242.98,1.023549954,43686.07,1.01822837
31.03.2012,1.101348796,0.075985222,1.077829542,51907.2,1.101292088,44955.52,1.047816521
30.06.2012,1.132106391,0.027927206,1.091805974,53357.9,1.132070948,46359.5,1.080540276
30.09.2012,1.163746376,0.02794789,1.097560976,54848.38,1.163693803,47482.84,1.106722916
31.12.2012,1.196016639,0.027729636,1.114003837,56369.5,1.195966732,48162.53,1.122565029
31.03.2013,1.188075129,-0.006639966,1.085502878,55998.45,1.188094329,49330.65,1.149791395
30.06.2013,1.188075129,0,1.06919704,55998.45,1.188094329,49330.65,1.149791395
30.09.2013,1.193369469,0.004456233,1.058235133,56246.79,1.193363249,49959.49,1.164448303
31.12.2013,1.198285642,0.004119573,1.048780488,56478.11,1.198271063,50208.31,1.170247762
31.03.2014,1.186562461,-0.009783295,1.018772266,55924.7,1.186529608,49938.5,1.163959071
30.06.2014,1.201437035,0.012535855,1.005069882,56630.42,1.201502557,50919.48,1.186823606
30.09.2014,1.21189966,0.008708425,0.997944642,57119.36,1.21187618,51115.56,1.191393809
31.12.2014,1.232320686,0.016850426,0.984379282,58084.71,1.232357584,51714.18,1.205346355
31.03.2015,1.246186815,0.011252046,0.920800219,58734.39,1.246141557,52596.41,1.225909239
30.06.2015,1.237110803,-0.007283027,0.893669498,58310.48,1.237147646,52190.48,1.216447884
30.09.2015,1.214294718,-0.018443041,0.864346396,57233.16,1.214290624,51719.97,1.205481307
31.12.2015,1.194125804,-0.016609571,0.833241984,56282.88,1.194128954,51530.15,1.201057011
31.03.2016,1.173956889,-0.016890109,0.80063031,55329.96,1.173911272,53655.35,1.250590854
30.06.2016,1.162485819,-0.009771287,0.782269115,54792.83,1.162515223,53558.2,1.248326496
30.09.2016,1.150258414,-0.010518326,0.766511373,54216.98,1.150297668,53476.96,1.246432967
31.12.2016,1.145342241,-0.004273973,0.755823513,53982.97,1.145332782,53286.96,1.242004475
