Date,Bid,Ask,Mid,Change,% Change,Cumulative Change %,High,Low
05/05/17,,,0.771605,0.00,-0.34,,,
05/04/17,0.774114,0.774413,0.774264,0.00,-0.14,116.65,0.774264,0.774264
05/03/17,0.775194,0.775434,0.775314,0.00,0.21,116.95,0.775314,0.775314
05/02/17,0.773575,0.773874,0.773724,0.00,0.03,116.50,0.773724,0.773724
05/01/17,0.773335,0.773635,0.773485,0.00,0.07,116.44,0.773485,0.773485
04/28/17,0.772798,0.773096,0.772947,0.00,-0.32,116.29,0.772947,0.772947
04/27/17,0.775314,0.775555,0.775434,0.00,-0.31,116.98,0.775434,0.775434
04/26/17,0.777726,0.778028,0.777877,0.00,-0.23,117.67,0.777877,0.777877
04/25/17,0.779545,0.779849,0.779697,0.00,-0.38,118.17,0.779697,0.779697
04/24/17,0.782534,0.782840,0.782687,0.00,0.00,119.01,0.782687,0.782687
04/21/17,0.782534,0.782779,0.782656,0.00,0.50,119.00,0.782656,0.782656
04/20/17,0.778574,0.778877,0.778725,0.00,-0.24,117.90,0.778725,0.778725
04/19/17,0.780457,0.780762,0.780610,0.00,-0.36,118.43,0.780610,0.780610
04/18/17,0.783331,0.783576,0.783453,-0.01,-1.33,119.23,0.783453,0.783453
04/17/17,0.793903,0.794155,0.794029,0.00,-0.60,122.19,0.794029,0.794029
04/14/17,0.798722,0.798977,0.798850,0.00,0.00,123.53,0.798850,0.798850
04/13/17,0.798722,0.798977,0.798850,0.00,-0.06,123.53,0.798850,0.798850
04/12/17,0.799169,0.799488,0.799329,0.00,-0.18,123.67,0.799329,0.799329
04/11/17,0.800641,0.800961,0.800801,0.00,-0.48,124.08,0.800801,0.800801
04/10/17,0.804570,0.804829,0.804699,0.00,-0.28,125.17,0.804699,0.804699
04/07/17,0.806842,0.807103,0.806972,0.01,0.84,125.81,0.806972,0.806972
04/06/17,0.800064,0.800384,0.800224,0.00,-0.16,123.92,0.800224,0.800224
04/05/17,0.801346,0.801603,0.801475,0.00,-0.24,124.27,0.801475,0.801475
04/04/17,0.803277,0.803600,0.803439,0.00,0.26,124.82,0.803439,0.803439
04/03/17,0.801218,0.801475,0.801346,0.00,0.20,124.23,0.801346,0.801346
03/31/17,0.799552,0.799872,0.799712,0.00,-0.10,123.78,0.799712,0.799712
03/30/17,0.800320,0.800641,0.800480,-0.01,-0.64,123.99,0.800480,0.800480
03/29/17,0.805477,0.805802,0.805640,0.01,0.99,125.43,0.805640,0.805640
03/28/17,0.797639,0.797894,0.797766,0.00,0.29,123.23,0.797766,0.797766
03/27/17,0.795355,0.795608,0.795482,-0.01,-0.64,122.59,0.795482,0.795482
03/24/17,0.800448,0.800769,0.800608,0.00,0.28,124.03,0.800608,0.800608
03/23/17,0.798212,0.798531,0.798371,0.00,-0.40,123.40,0.798371,0.798371
03/22/17,0.801475,0.801732,0.801603,0.00,0.04,124.30,0.801603,0.801603
03/21/17,0.801154,0.801475,0.801314,-0.01,-0.93,124.22,0.801314,0.801314
03/20/17,0.808669,0.808931,0.808800,0.00,0.06,126.32,0.808800,0.808800
03/17/17,0.808146,0.808407,0.808277,0.00,-0.02,126.17,0.808277,0.808277
03/16/17,0.808277,0.808604,0.808440,-0.01,-1.19,126.22,0.808440,0.808440
03/15/17,0.818063,0.818331,0.818197,0.00,-0.44,128.95,0.818197,0.818197
03/14/17,0.821693,0.821963,0.821828,0.00,0.54,129.96,0.821828,0.821828
03/13/17,0.817261,0.817595,0.817428,0.00,-0.54,128.73,0.817428,0.817428
03/10/17,0.821760,0.822030,0.821895,0.00,-0.14,129.98,0.821895,0.821895
03/09/17,0.822842,0.823181,0.823011,0.00,0.15,130.30,0.823011,0.823011
03/08/17,0.821625,0.821963,0.821794,0.00,0.21,129.95,0.821794,0.821794
03/07/17,0.819874,0.820210,0.820042,0.00,0.50,129.46,0.820042,0.820042
03/06/17,0.815794,0.816127,0.815960,0.00,0.04,128.32,0.815960,0.815960
03/03/17,0.815461,0.815727,0.815594,0.00,0.18,128.22,0.815594,0.815594
03/02/17,0.814001,0.814266,0.814133,0.00,0.27,127.81,0.814133,0.814133
03/01/17,0.811820,0.812084,0.811952,0.01,1.04,127.20,0.811952,0.811952
