Date,Price,Change,% Change,Cumulative Change %
05/05/17,86.37,0.00,0.00,
05/04/17,86.37,0.00,0.00,117.59
05/03/17,86.37,0.00,0.00,117.59
05/02/17,86.37,0.00,0.00,117.59
05/01/17,86.37,0.00,0.00,117.59
04/28/17,86.37,0.00,0.00,117.59
04/27/17,86.37,0.00,0.00,117.59
04/26/17,86.37,0.00,0.00,117.59
04/25/17,86.37,0.00,0.00,117.59
04/24/17,86.37,0.00,0.00,117.59
04/21/17,86.37,0.00,0.00,117.59
04/20/17,86.37,0.00,0.00,117.59
04/19/17,86.37,0.00,0.00,117.59
04/18/17,86.37,0.00,0.00,117.59
04/17/17,86.37,0.00,0.00,117.59
04/13/17,86.37,0.00,0.00,117.59
04/12/17,86.37,0.00,0.00,117.59
04/11/17,86.37,0.00,0.00,117.59
04/10/17,86.37,0.00,0.00,117.59
04/07/17,86.37,0.00,0.00,117.59
04/06/17,86.37,0.00,0.00,117.59
04/05/17,86.37,0.00,0.00,117.59
04/04/17,86.37,0.00,0.00,117.59
04/03/17,86.37,0.00,0.00,117.59
03/31/17,86.37,0.22,0.26,117.59
03/30/17,86.15,0.00,0.00,117.03
03/29/17,86.15,0.00,0.00,117.03
03/28/17,86.15,0.00,0.00,117.03
03/27/17,86.15,0.00,0.00,117.03
03/24/17,86.15,0.00,0.00,117.03
03/23/17,86.15,0.00,0.00,117.03
03/22/17,86.15,0.00,0.00,117.03
03/21/17,86.15,0.00,0.00,117.03
03/20/17,86.15,0.00,0.00,117.03
03/17/17,86.15,0.00,0.00,117.03
03/16/17,86.15,0.00,0.00,117.03
03/15/17,86.15,0.00,0.00,117.03
03/14/17,86.15,0.00,0.00,117.03
03/13/17,86.15,0.00,0.00,117.03
03/10/17,86.15,0.00,0.00,117.03
03/09/17,86.15,0.00,0.00,117.03
03/08/17,86.15,0.00,0.00,117.03
03/07/17,86.15,0.00,0.00,117.03
03/06/17,86.15,0.00,0.00,117.03
03/03/17,86.15,0.00,0.00,117.03
03/02/17,86.15,0.00,0.00,117.03
03/01/17,86.15,0.00,0.00,117.03
02/28/17,86.15,-3.56,-3.97,117.03
02/27/17,89.71,0.00,0.00,125.99
02/24/17,89.71,0.00,0.00,125.99
02/23/17,89.71,0.00,0.00,125.99
02/22/17,89.71,0.00,0.00,125.99
02/21/17,89.71,0.00,0.00,125.99
