Date,Price,Change,% Change,Cumulative Change %
05/05/17,,,,
05/04/17,2.50,-0.03,-1.22,421.79
05/03/17,2.53,-0.09,-3.50,428.26
05/02/17,2.63,-0.02,-0.94,447.45
05/01/17,2.65,0.05,2.06,452.66
04/28/17,2.60,0.02,0.64,441.50
04/27/17,2.58,-0.01,-0.42,438.06
04/26/17,2.59,0.01,0.35,440.35
04/25/17,2.58,0.03,1.12,438.48
04/24/17,2.55,0.02,0.67,432.53
04/21/17,2.54,0.00,-0.18,428.99
04/20/17,2.54,0.01,0.30,429.93
04/19/17,2.53,0.00,0.18,428.36
04/18/17,2.53,-0.07,-2.54,427.42
04/17/17,2.60,0.03,0.99,441.19
04/13/17,2.57,0.03,1.00,435.87
04/12/17,2.54,-0.06,-2.38,430.55
04/11/17,2.61,0.00,0.15,443.48
04/10/17,2.60,-0.04,-1.63,442.65
04/07/17,2.65,-0.01,-0.40,451.62
04/06/17,2.66,-0.02,-0.75,453.81
04/05/17,2.68,0.07,2.67,457.98
04/04/17,2.61,0.01,0.33,443.48
04/03/17,2.60,-0.05,-1.85,441.71
03/31/17,2.65,-0.02,-0.69,451.93
03/30/17,2.67,0.00,-0.19,455.79
03/29/17,2.67,0.00,0.04,456.83
03/28/17,2.67,0.04,1.68,456.62
03/27/17,2.63,0.00,0.06,447.45
03/24/17,2.62,-0.01,-0.49,447.13
03/23/17,2.64,0.01,0.55,449.84
03/22/17,2.62,0.01,0.46,446.82
03/21/17,2.61,-0.05,-1.71,444.32
03/20/17,2.66,-0.02,-0.90,453.81
03/17/17,2.68,0.01,0.53,458.81
03/16/17,2.67,0.02,0.76,455.89
03/15/17,2.65,0.02,0.82,451.72
03/14/17,2.62,0.01,0.29,447.24
03/13/17,2.62,0.03,1.16,445.67
03/10/17,2.59,0.02,0.64,439.42
03/09/17,2.57,-0.02,-0.85,435.97
03/08/17,2.59,-0.02,-0.67,440.56
03/07/17,2.61,-0.03,-1.27,444.21
03/06/17,2.64,-0.04,-1.64,451.20
03/03/17,2.69,0.01,0.28,460.38
03/02/17,2.68,-0.05,-1.72,458.81
03/01/17,2.73,0.02,0.83,468.61
02/28/17,2.70,0.02,0.61,463.92
02/27/17,2.69,0.01,0.28,460.48
02/24/17,2.68,0.04,1.42,458.92
02/23/17,2.64,-0.09,-3.29,451.09
02/22/17,2.73,-0.01,-0.47,469.86
02/21/17,2.75,0.04,1.48,472.58
02/17/17,2.71,-0.01,-0.39,464.23
02/16/17,2.72,-0.02,-0.73,466.42
02/15/17,2.74,0.01,0.18,470.59
02/14/17,2.73,-0.05,-1.64,469.55
02/13/17,2.78,0.01,0.52,479.04
02/10/17,2.76,0.11,4.31,476.02
02/09/17,2.65,-0.01,-0.47,452.24
02/08/17,2.66,0.03,1.31,454.85
02/07/17,2.63,-0.02,-0.74,447.65
02/06/17,2.65,0.04,1.38,451.72
02/03/17,2.61,-0.07,-2.56,444.21
02/02/17,2.68,-0.03,-0.98,458.50
02/01/17,2.70,-0.02,-0.62,464.03
01/31/17,2.72,0.07,2.80,467.57
01/30/17,2.65,-0.03,-1.21,452.14
01/27/17,2.68,0.01,0.53,458.92
01/26/17,2.67,-0.04,-1.35,456.00
01/25/17,2.70,0.00,0.07,463.61
01/24/17,2.70,0.06,2.31,463.19
01/23/17,2.64,0.02,0.86,450.47
01/20/17,2.62,0.02,0.60,445.78
01/19/17,2.60,-0.01,-0.25,442.54
