Date,Price,Change,% Change,Cumulative Change %
05/05/17,"1,907.00",-2.50,-0.13,
05/04/17,"1,909.50",-6.50,-0.34,69.02
05/03/17,"1,916.00",7.00,0.37,69.59
05/02/17,"1,909.00",-21.00,-1.09,68.97
05/01/17,"1,930.00",0.00,0.00,70.83
04/28/17,"1,930.00",-24.50,-1.25,70.83
04/27/17,"1,954.50",-3.00,-0.15,73.00
04/26/17,"1,957.50",14.50,0.75,73.27
04/25/17,"1,943.00",15.00,0.78,71.98
04/24/17,"1,928.00",-4.50,-0.23,70.66
04/21/17,"1,932.50",-0.50,-0.03,71.05
04/20/17,"1,933.00",37.50,1.98,71.10
04/19/17,"1,895.50",-20.00,-1.04,67.78
04/18/17,"1,915.50",25.50,1.35,69.55
04/17/17,"1,890.00",0.00,0.00,67.29
04/13/17,"1,890.00",-17.00,-0.89,67.29
04/12/17,"1,907.00",-0.50,-0.03,68.80
04/11/17,"1,907.50",-21.50,-1.11,68.84
04/10/17,"1,929.00",-0.50,-0.03,70.74
04/07/17,"1,929.50",-26.50,-1.35,70.79
04/06/17,"1,956.00",-6.00,-0.31,73.13
04/05/17,"1,962.00",24.00,1.24,73.67
04/04/17,"1,938.00",-10.50,-0.54,71.54
04/03/17,"1,948.50",2.00,0.10,72.47
03/31/17,"1,946.50",-8.50,-0.43,72.29
03/30/17,"1,955.00",24.00,1.24,73.05
03/29/17,"1,931.00",12.50,0.65,70.92
03/28/17,"1,918.50",2.50,0.13,69.81
03/27/17,"1,916.00",-1.50,-0.08,69.59
03/24/17,"1,917.50",4.50,0.24,69.73
03/23/17,"1,913.00",3.00,0.16,69.33
03/22/17,"1,910.00",-8.00,-0.42,69.06
03/21/17,"1,918.00",10.00,0.52,69.77
03/20/17,"1,908.00",7.00,0.37,68.89
03/17/17,"1,901.00",6.00,0.32,68.27
03/16/17,"1,895.00",32.00,1.72,67.73
03/15/17,"1,863.00",12.00,0.65,64.90
03/14/17,"1,851.00",-31.00,-1.65,63.84
03/13/17,"1,882.00",-2.50,-0.13,66.58
03/10/17,"1,884.50",37.50,2.03,66.81
03/09/17,"1,847.00",-34.00,-1.81,63.49
03/08/17,"1,881.00",23.00,1.24,66.50
03/07/17,"1,858.00",-10.00,-0.54,64.46
03/06/17,"1,868.00",-41.00,-2.15,65.34
03/03/17,"1,909.00",-20.00,-1.04,68.97
03/02/17,"1,929.00",-5.00,-0.26,70.74
03/01/17,"1,934.00",39.00,2.06,71.19
02/28/17,"1,895.00",-13.00,-0.68,67.73
02/27/17,"1,908.00",31.00,1.65,68.89
02/24/17,"1,877.00",-5.50,-0.29,66.14
02/23/17,"1,882.50",9.50,0.51,66.63
