Date,Price,Change,% Change,Cumulative Change %
05/05/17,0.81,0.00,0.00,
05/04/17,0.81,0.00,0.17,150.56
05/03/17,0.81,0.00,-0.17,150.12
05/02/17,0.81,0.00,0.47,150.56
05/01/17,0.80,0.00,0.27,149.38
04/28/17,0.80,0.01,1.15,148.70
04/27/17,0.79,-0.01,-1.70,145.88
04/26/17,0.81,0.00,-0.02,150.12
04/25/17,0.81,0.01,0.77,150.19
04/24/17,0.80,0.01,1.39,148.26
04/21/17,0.79,-0.01,-1.35,144.85
04/20/17,0.80,0.02,3.09,148.20
04/19/17,0.78,0.01,1.11,140.76
04/18/17,0.77,0.00,-0.27,138.13
04/17/17,0.77,0.01,1.86,138.78
04/13/17,0.76,0.01,1.19,134.41
04/12/17,0.75,0.00,-0.37,131.65
04/11/17,0.75,0.00,-0.19,132.52
04/10/17,0.75,0.02,2.30,132.95
04/07/17,0.73,-0.01,-1.41,127.71
04/06/17,0.75,0.00,-0.48,130.97
04/05/17,0.75,0.00,0.03,132.08
04/04/17,0.75,-0.01,-0.82,132.02
04/03/17,0.75,-0.02,-2.41,133.94
03/31/17,0.77,0.01,1.44,139.71
03/30/17,0.76,0.00,0.12,136.30
03/29/17,0.76,-0.01,-0.96,136.02
03/28/17,0.77,0.00,-0.08,138.31
03/27/17,0.77,-0.01,-0.68,138.50
03/24/17,0.77,0.00,0.26,140.14
03/23/17,0.77,0.00,-0.09,139.52
03/22/17,0.77,0.01,0.65,139.74
03/21/17,0.77,0.00,-0.63,138.19
03/20/17,0.77,-0.01,-1.31,139.71
03/17/17,0.78,0.00,0.24,142.90
03/16/17,0.78,0.00,0.12,142.31
03/15/17,0.78,0.01,1.21,142.03
03/14/17,0.77,0.00,0.36,139.15
03/13/17,0.77,0.00,-0.54,138.28
03/10/17,0.77,0.01,0.86,139.58
03/09/17,0.77,0.00,-0.35,137.54
03/08/17,0.77,0.00,-0.49,138.38
03/07/17,0.77,-0.01,-1.42,139.55
03/06/17,0.78,0.01,1.44,142.99
03/03/17,0.77,0.02,2.10,139.55
03/02/17,0.76,-0.01,-1.51,134.62
03/01/17,0.77,0.02,2.02,138.22
02/28/17,0.75,0.00,0.48,133.51
02/27/17,0.75,0.00,-0.07,132.39
02/24/17,0.75,0.00,0.00,132.55
02/23/17,0.75,0.01,1.19,132.55
02/22/17,0.74,0.01,0.84,129.82
02/21/17,0.74,0.00,0.05,127.90
02/17/17,0.73,-0.02,-2.04,127.77
02/16/17,0.75,-0.01,-0.92,132.52
02/15/17,0.76,-0.01,-0.80,134.69
02/14/17,0.76,0.00,-0.38,136.58
02/13/17,0.77,0.01,1.04,137.48
02/10/17,0.76,0.00,0.32,135.03
02/09/17,0.76,0.00,0.44,134.28
02/08/17,0.75,0.00,0.21,133.26
02/07/17,0.75,-0.01,-0.71,132.77
02/06/17,0.76,-0.01,-1.02,134.44
02/03/17,0.76,-0.01,-0.65,136.86
02/02/17,0.77,0.00,0.61,138.41
02/01/17,0.76,0.02,2.00,136.95
01/31/17,0.75,0.01,1.08,132.30
01/30/17,0.74,-0.01,-0.95,129.82
01/27/17,0.75,0.01,0.89,132.02
01/26/17,0.74,0.00,0.42,129.98
01/25/17,0.74,0.00,0.42,129.01
01/24/17,0.74,-0.01,-1.42,128.05
01/23/17,0.75,0.02,2.18,131.34
01/20/17,0.73,0.00,0.48,126.41
01/19/17,0.73,0.00,0.60,125.33
01/18/17,0.72,0.00,0.21,123.99
01/17/17,0.72,0.00,-0.22,123.53
01/13/17,0.72,0.00,-0.10,124.02
01/12/17,0.72,-0.01,-1.09,124.24
01/11/17,0.73,0.00,-0.07,126.72
01/10/17,0.73,0.00,0.27,126.88
01/09/17,0.73,-0.01,-1.35,126.26
01/06/17,0.74,0.00,0.28,129.36
01/05/17,0.74,0.00,-0.40,128.70
01/04/17,0.74,0.02,3.20,129.63
01/03/17,0.72,0.01,1.60,122.50
12/30/16,0.71,0.00,0.21,119.00
12/29/16,0.71,0.01,1.08,118.54
12/28/16,0.70,0.00,0.01,116.21
12/27/16,0.70,0.00,-0.19,116.18
12/23/16,0.70,0.00,-0.47,116.58
12/22/16,0.70,0.00,0.10,117.61
12/21/16,0.70,0.01,1.14,117.39
12/20/16,0.69,0.00,-0.33,114.94
