Date,Bid,Ask,Mid,Change,% Change,Cumulative Change %,High,Low
05/05/17,,,1.011992,0.00,0.27,,,
05/04/17,1.009082,1.009489,1.009285,0.00,0.04,332.58,1.009285,1.009285
05/03/17,1.008573,1.009184,1.008878,0.00,0.27,332.40,1.008878,1.008878
05/02/17,1.005834,1.006441,1.006138,0.00,0.01,331.23,1.006138,1.006138
05/01/17,1.005834,1.006340,1.006087,0.00,0.15,331.21,1.006087,1.006087
04/28/17,1.004218,1.004924,1.004571,0.00,-0.08,330.56,1.004571,1.004571
04/27/17,1.005126,1.005632,1.005379,0.00,0.00,330.90,1.005379,1.005379
04/26/17,1.005126,1.005632,1.005379,0.00,-0.14,330.90,1.005379,1.005379
04/25/17,1.006441,1.007049,1.006745,0.00,0.23,331.49,1.006745,1.006745
04/24/17,1.004218,1.004722,1.004470,0.00,0.32,330.52,1.004470,1.004470
04/21/17,1.001001,1.001502,1.001252,0.00,-0.37,329.14,1.001252,1.001252
04/20/17,1.004621,1.005328,1.004975,0.00,0.30,330.73,1.004975,1.004975
04/19/17,1.001703,1.002205,1.001954,0.00,0.06,329.44,1.001954,1.001954
04/18/17,1.001001,1.001703,1.001352,0.00,0.30,329.18,1.001352,1.001352
04/17/17,0.998104,0.998602,0.998353,0.00,0.32,327.89,0.998353,0.998353
04/14/17,0.994926,0.995520,0.995190,0.00,0.00,326.54,0.995190,0.995190
04/13/17,0.994926,0.995520,0.995223,0.00,0.01,326.55,0.995223,0.995223
04/12/17,0.994827,0.995421,0.995124,0.00,0.12,326.51,0.995124,0.995124
04/11/17,0.993542,0.994233,0.993888,0.00,0.19,325.98,0.993888,0.993888
04/10/17,0.991768,0.992260,0.992014,0.00,-0.13,325.18,0.992014,0.992014
04/07/17,0.993049,0.993542,0.993295,0.00,-0.27,325.73,0.993295,0.993295
04/06/17,0.995718,0.996214,0.995966,0.00,0.00,326.87,0.995966,0.995966
04/05/17,0.995818,0.996214,0.996016,0.00,-0.24,326.89,0.996016,0.996016
04/04/17,0.998203,0.998702,0.998452,0.00,0.15,327.94,0.998452,0.998452
04/03/17,0.996612,0.997307,0.996959,0.00,-0.21,327.30,0.996959,0.996959
03/31/17,0.998801,0.999300,0.999051,0.00,-0.48,328.19,0.999051,0.999051
03/30/17,1.003613,1.004117,1.003865,0.00,0.09,330.26,1.003865,1.003865
03/29/17,1.002707,1.003210,1.002959,-0.01,-1.35,329.87,1.002959,1.002959
03/28/17,1.016363,1.016984,1.016673,0.00,-0.03,335.75,1.016673,1.016673
03/27/17,1.016673,1.017191,1.016932,0.01,0.80,335.86,1.016932,1.016932
03/24/17,1.008573,1.009184,1.008878,0.00,0.13,332.40,1.008878,1.008878
03/23/17,1.007354,1.007861,1.007608,0.00,-0.27,331.86,1.007608,1.007608
03/22/17,1.009999,1.010611,1.010305,0.00,0.37,333.02,1.010305,1.010305
03/21/17,1.006340,1.006847,1.006593,0.00,0.32,331.43,1.006593,1.006593
03/20/17,1.003110,1.003613,1.003361,0.00,0.13,330.04,1.003361,1.003361
03/17/17,1.001803,1.002305,1.002054,0.00,-0.26,329.48,1.002054,1.002054
03/16/17,1.004319,1.004924,1.004621,0.01,1.28,330.58,1.004621,1.004621
03/15/17,0.991670,0.992260,0.991965,0.00,-0.03,325.16,0.991965,0.991965
03/14/17,0.992063,0.992556,0.992310,0.00,-0.09,325.30,0.992310,0.992310
03/13/17,0.992950,0.993443,0.993197,0.00,0.33,325.68,0.993197,0.993197
03/10/17,0.989609,0.990197,0.989903,0.00,0.43,324.27,0.989903,0.989903
03/09/17,0.985513,0.985902,0.985707,0.00,0.01,322.47,0.985707,0.985707
03/08/17,0.985319,0.985902,0.985610,0.00,-0.11,322.43,0.985610,0.985610
03/07/17,0.986388,0.987069,0.986729,0.00,-0.22,322.91,0.986729,0.986729
03/06/17,0.988631,0.989120,0.988875,0.00,-0.06,323.83,0.988875,0.988875
03/03/17,0.989218,0.989805,0.989511,0.00,0.02,324.10,0.989511,0.989511
03/02/17,0.988924,0.989609,0.989267,0.00,-0.19,324.00,0.989267,0.989267
03/01/17,0.990884,0.991473,0.991178,-0.01,-0.74,324.82,0.991178,0.991178
02/28/17,0.998303,0.998801,0.998552,0.00,0.41,327.98,0.998552,0.998552
02/27/17,0.994135,0.994728,0.994431,0.00,0.10,326.21,0.994431,0.994431
02/24/17,0.993147,0.993641,0.993394,0.00,-0.09,325.77,0.993394,0.993394
02/23/17,0.994036,0.994530,0.994283,0.01,0.60,326.15,0.994283,0.994283
02/22/17,0.988142,0.988631,0.988386,0.00,-0.21,323.62,0.988386,0.988386
02/21/17,0.990197,0.990786,0.990491,-0.01,-0.74,324.52,0.990491,0.990491
02/20/17,0.997606,0.998104,0.997855,0.00,-0.11,327.68,0.997855,0.997855
02/17/17,0.998702,0.999201,0.998951,0.00,-0.24,328.15,0.998951,0.998951
02/16/17,1.001101,1.001603,1.001352,0.01,0.98,329.18,1.001352,1.001352
02/15/17,0.991375,0.991965,0.991670,0.00,-0.03,325.03,0.991670,0.991670
